,Age [ka BP],U1476_d18O,U1476_d18O_error,U1476_d13C,U1476_d13C_error,U1308_d18O,U1308_d18O_error,U1308_d13C,U1308_d13C_error,MD06_3018_d18O,MD06_3018_d18O_error,MD06_3018_d13C,MD06_3018_d13C_error,ODP1143_d18O,ODP1143_d18O_error,ODP1143_d13C,ODP1143_d13C_error,ODP1090_d18O,ODP1090_d18O_error,ODP1090_d13C,ODP1090_d13C_error,ODP1088_d18O,ODP1088_d18O_error,ODP1088_d13C,ODP1088_d13C_error,ODP925_d18O,ODP925_d18O_error,ODP925_d13C,ODP925_d13C_error,ODP849_d18O,ODP849_d18O_error,ODP849_d13C,ODP849_d13C_error,DSDP502_d18O,DSDP502_d18O_error,DSDP502_d13C,DSDP502_d13C_error,ODP659_d18O,ODP659_d18O_error,ODP659_d13C,ODP659_d13C_error,ODP664_d18O,ODP664_d18O_error,ODP664_d13C,ODP664_d13C_error,ODP846_d18O,ODP846_d18O_error,ODP846_d13C,ODP846_d13C_error,DSDP607_d18O,DSDP607_d18O_error,DSDP607_d13C,DSDP607_d13C_error,DSDP552_d18O,DSDP552_d18O_error,DSDP552_d13C,DSDP552_d13C_error,ODP984_d18O,ODP984_d18O_error,ODP984_d13C,ODP984_d13C_error,ODP983_d18O,ODP983_d18O_error,ODP983_d13C,ODP983_d13C_error,ODP982_d18O,ODP982_d18O_error,ODP982_d13C,ODP982_d13C_error,ODP980_d18O,ODP980_d18O_error,ODP980_d13C,ODP980_d13C_error,ODP1063_d18O,ODP1063_d18O_error,ODP1063_d13C,ODP1063_d13C_error,ODP1264_d18O,ODP1264_d18O_error,ODP1264_d13C,ODP1264_d13C_error,ODP1267_d18O,ODP1267_d18O_error,ODP1267_d13C,ODP1267_d13C_error
191,958.5,3.0661666666666663,0.1675177298521408,0.273,0.04911098541964811,3.3214285714285716,0.10484257870890844,-0.09333333333333334,0.0611949538229567,3.5728,0.0,0.3205,0.0,3.1550000000000002,0.22556706319850878,-0.645,0.04879036790187178,3.4450000000000003,0.16617009357883872,-0.915,0.3641599923110719,,,,,3.2600000000000002,0.1540129864654276,0.202,0.15269315636268704,,,,,,,,,,,,,3.59,0.19091883092036782,0.08500000000000002,0.13788582233137675,3.3049999999999997,0.09545941546018391,-0.48,0.03535533905932738,2.82,0.0,0.37,0.0,2.86,0.0,0.83,0.0,,,,,3.4669230769230768,0.14346673372892305,-0.0123076923076923,0.09517442005147565,2.755,0.3005203820042827,0.635,0.010606601717798222,3.052,0.19984794219606064,0.174,0.03269250678672408,3.835714285714286,0.14981426790798222,-0.6428571428571429,0.16779134620134112,4.11,0.0,0.64,0.0,4.1,0.12727922061357866,0.535,0.07424621202458749
192,963.5,3.3536,0.13936042479843405,0.016199999999999996,0.04514013735025625,4.144666666666667,0.025260714631690526,0.09666666666666668,0.05908687890944367,4.0937,0.0,0.1768,0.0,3.541,0.0,-0.366,0.0,3.8200000000000003,0.08660254037844395,-0.64,0.1270170592217177,3.12,0.0,0.58,0.0,3.473333333333333,0.09022605355849683,0.8766666666666666,0.03538151850686811,4.145,0.08838834764831843,-0.5800000000000001,0.05656854249492381,,,,,3.34,0.0,0.22,0.0,4.29,0.04242640687119257,-0.15500000000000003,0.010606601717798212,,,,,3.8099999999999996,0.021213203435596444,0.085,0.08131727983645297,3.6,0.0,0.2,0.0,4.01,0.0,0.62,0.0,4.1979999999999995,0.07698311503180423,0.628,0.05113120378007934,3.49,0.049497474683058366,0.87,0.014142135623730963,4.029999999999999,0.04949747468305821,0.655,0.017677669529663702,4.388571428571429,0.03437064311111616,-0.6314285714285716,0.12698109406808897,4.34,0.0,0.87,0.0,4.175,0.12374368670764568,0.545,0.07424621202458749
193,968.5,3.3548,0.20782481083835969,0.08280000000000001,0.05079244038240336,3.8741176470588234,0.040949448315226324,0.024117647058823525,0.06380148073218184,4.3238,0.0,0.2063,0.0,3.224,0.06222539674441607,-0.269,0.012727922061357847,3.5399999999999996,0.10614455552060441,-0.35000000000000003,0.2151485275080657,3.95,0.0,0.04,0.0,3.255,0.09542667341996153,0.9375,0.07963785218098236,4.255,0.06010407640085651,-0.16999999999999998,0.035355339059327376,3.27,0.0,0.82,0.0,,,,,4.140000000000001,0.007071067811865638,-0.09,0.028284271247461898,3.455,0.08131727983645295,-0.275,0.010606601717798201,3.21,0.0,0.87,0.0,3.6,0.0,0.88,0.0,3.6175,0.026545950726994175,-0.015000000000000006,0.08620469824783333,3.839,0.048958145389710155,0.6780000000000002,0.03145790838565082,3.33,0.06363961030678918,1.0150000000000001,0.1449568901432422,3.4840000000000004,0.09706080568385986,0.6380000000000001,0.03713758204299252,4.2524999999999995,0.07908658230066587,-0.4225,0.04614853735493684,4.44,0.0,0.77,0.0,4.213333333333334,0.03839367231815768,0.45999999999999996,0.021602468994692873
194,973.5,3.472,0.07456701683720492,0.16359999999999997,0.0724268458515211,3.419565217391304,0.02121523742515051,0.4904347826086957,0.046833487206893405,4.1456,0.0,0.2124,0.0,3.133,0.0,-0.317,0.0,3.39,0.08956685895029606,-0.7133333333333334,0.06152385866625391,3.52,0.0,0.4,0.0,2.9074999999999998,0.045190568706313036,0.85,0.1502913836518914,3.79,0.05656854249492385,-0.14500000000000002,0.010606601717798212,2.47,0.0,0.68,0.0,3.61,0.0,0.55,0.0,3.69,0.028284271247461926,0.43000000000000005,0.06363961030678927,3.25,0.0,-0.23,0.0,3.325,0.08838834764831843,0.53,0.03535533905932737,3.355,0.12374368670764568,0.935,0.06717514421272203,3.328888888888889,0.08367256057806516,0.1722222222222222,0.160499050247394,3.643333333333333,0.05773502691896259,0.6855555555555556,0.08075433117018234,2.915,0.11667261889578036,1.02,0.08485281374238565,3.32,0.06999999999999998,0.6975,0.10990763167314634,3.96,0.08485281374238578,0.20500000000000002,0.01767766952966369,4.12,0.0,0.62,0.0,4.33,0.028284271247461926,0.5,0.12727922061357855
195,978.5,3.2449999999999997,0.04049395016542594,0.2486,0.05419490750983896,3.1968750000000004,0.030242751585090603,0.385625,0.053047507820231286,4.0373,0.0,0.3122,0.0,2.94,0.18596908345206192,-0.289,0.09970205614730318,3.25,0.057927157323275885,-0.8633333333333333,0.19890440659513547,4.1,0.0,0.41,0.0,3.12,0.1697056274847714,0.75,0.13435028842544397,3.76,0.0,-0.26,0.0,2.62,0.0,0.74,0.0,,,,,3.5499999999999994,0.07348469228349536,0.29666666666666663,0.12168569105448433,3.125,0.04596194077712555,-0.22499999999999998,0.04596194077712558,3.1574999999999998,0.028367014294775592,0.73,0.03,3.19,0.0,1.11,0.0,,,,,3.431666666666666,0.03849302486117404,0.6458333333333333,0.10227589548029535,2.86,0.0,0.9,0.0,3.073333333333333,0.01655518269527923,0.5366666666666667,0.05504207145111484,3.7842857142857143,0.08358930560581179,-0.1,0.08590455073355947,4.13,0.0,0.61,0.0,4.34,0.03535533905932725,0.255,0.010606601717798222
196,983.5,3.2613999999999996,0.09056162542710901,0.1308,0.042731159591099334,3.673333333333334,0.03183677507087644,0.1816666666666667,0.05870647849500046,4.2527,0.0,0.2568,0.0,,,,,3.28,0.04082482904638628,-1.0233333333333332,0.02419060117453029,,,,,3.393333333333333,0.06061414087549275,0.8233333333333334,0.07517879921794345,4.06,0.0,-0.32,0.0,2.94,0.0,1.0,0.0,,,,,3.95,0.0,0.38,0.0,3.3,0.0,-0.32,0.0,3.335,0.04596194077712555,0.18,0.0,,,,,3.11,0.028284271247461926,0.23,0.03535533905932738,3.83,0.1079894827983805,0.6177777777777779,0.1193167563261424,2.67,0.10606601717798206,0.715,0.0035355339059327407,3.522222222222222,0.04817093477893067,0.6833333333333333,0.071267189825887,4.3566666666666665,0.2551397583605823,-0.49333333333333335,0.09265627439728616,4.12,0.0,0.81,0.0,4.35,0.06363961030678948,0.485,0.1449568901432422
197,988.5,3.3074,0.0326810036565586,0.2566,0.01959305999582505,3.656071428571429,0.027858696319845968,0.08214285714285714,0.03866508847856673,,,,,3.395,0.034648232278140775,-0.2495,0.12904698756654492,3.53,0.0,-0.99,0.0,,,,,3.28,0.014142135623730963,0.86,0.07071067811865474,4.01,0.09899494936611673,-0.14500000000000002,0.1237436867076458,,,,,,,,,3.83,0.0,0.23,0.0,3.36,0.0,-0.42,0.0,3.4050000000000002,0.06717514421272198,0.57,0.0,3.6,0.0,1.22,0.0,3.66,0.0,0.07,0.0,4.01,0.07078920193865101,0.5583333333333333,0.06597207602322983,2.98,0.03535533905932725,0.8049999999999999,0.03889087296526011,3.446,0.06213533616228366,0.9359999999999999,0.010807404868885026,4.458,0.11639243961701291,-0.36,0.1346996659238619,4.28,0.0,0.79,0.0,4.045,0.03181980515339459,0.6950000000000001,0.06010407640085655
198,993.5,3.2606,0.05758235840949903,0.2242,0.07547683088206605,3.3476666666666675,0.018634992969222258,0.6363333333333333,0.049223940276010986,4.1084,0.0,0.3375,0.0,3.2435,0.010960155108391378,-0.1265,0.0024748737341529184,,,,,3.63,0.0,0.35,0.0,2.886,0.08151564267059422,1.04,0.0349857113690718,3.9,0.0,-0.08,0.0,,,,,3.77,0.0,0.59,0.0,3.835,0.06717514421272198,0.6699999999999999,0.014142135623730923,3.165,0.06010407640085651,-0.29,0.04949747468305832,3.1,0.0919238815542511,0.91,0.0,3.39,0.0,1.26,0.0,3.4520000000000004,0.02287356552879326,0.48600000000000004,0.08692985678120033,3.6969230769230768,0.022568360724266393,0.8861538461538463,0.06937197958914336,2.98,0.0919238815542511,0.935,0.07424621202458752,3.2199999999999998,0.04242640687119273,0.755,0.08838834764831843,4.098333333333334,0.1149254992174076,0.06333333333333334,0.13463255893700427,3.64,0.0,0.52,0.0,4.36,0.05656854249492385,0.535,0.07424621202458749
199,998.5,3.2396000000000003,0.019568546190251355,0.42539999999999994,0.021571462630058262,3.3684210526315788,0.037240426890081876,0.42052631578947364,0.06508666153105341,4.2518,0.0,0.1725,0.0,3.261,0.09899494936611658,-0.32299999999999995,0.024041630560342617,3.3000000000000003,0.02494438257849285,-0.59,0.0758653778449403,3.76,0.0,0.33,0.0,3.04,0.0,0.88,0.0,3.96,0.0,-0.16,0.0,,,,,,,,,3.75,0.04949747468305821,0.52,0.18384776310850234,3.32,0.0,-0.37,0.0,3.025,0.07424621202458748,0.875,0.03889087296526014,,,,,3.325,0.024748737341529103,0.36,0.05656854249492379,3.541428571428572,0.03280830443119768,0.8535714285714285,0.02560706102511616,3.15,0.0,1.08,0.0,3.2199999999999998,0.037583240945932246,0.64,0.012747548783981974,3.8042857142857147,0.08186243171288965,-0.19285714285714284,0.16127950495088073,4.05,0.0,0.72,0.0,4.245,0.16617009357883888,0.42,0.03535533905932737
200,1003.5,3.3284,0.08988997719434577,0.4364,0.06542085294460781,3.8731250000000004,0.02928468496394488,0.245,0.04875,4.1093,0.0,0.3642,0.0,,,,,3.49,0.13589211407093005,-0.6766666666666667,0.18435071246183235,,,,,3.34,0.0,1.03,0.0,4.09,0.0,-0.23,0.0,3.22,0.0,0.84,0.0,3.34,0.0,0.67,0.0,3.9,0.0,0.2,0.0,3.4450000000000003,0.003535533905932819,-0.375,0.03889087296526011,3.48,0.0,0.4,0.0,,,,,3.97,0.0,-0.41,0.0,3.9169230769230765,0.05897933260907061,0.8338461538461537,0.029443325592381848,3.15,0.04242640687119289,1.025,0.06010407640085659,3.5949999999999998,0.06269968101992228,0.69,0.07097534783289196,4.152857142857142,0.07167711859056598,-0.7785714285714285,0.10647273429703985,4.3,0.0,0.61,0.0,4.293333333333334,0.10288432915262273,0.4366666666666667,0.11569436107773441
201,1008.5,3.395333333333333,0.03177758352698983,0.18550000000000003,0.03800785737478795,3.715789473684211,0.022592570904972808,0.4231578947368422,0.06858705623820895,3.978,0.0,0.4584,0.0,3.577,0.0,-0.243,0.0,3.13,0.0,0.03,0.0,3.62,0.0,0.21,0.0,3.3633333333333333,0.06688851974796634,0.7466666666666666,0.16768577315478653,4.16,0.08485281374238578,-0.095,0.010606601717798212,2.92,0.1697056274847714,0.78,0.07778174593052022,3.25,0.0,0.56,0.0,3.875,0.038890872965260226,0.355,0.0035355339059327407,3.5,0.05656854249492385,-0.35,0.03535533905932738,3.58,0.0,0.44,0.0,3.77,0.0,1.11,0.0,,,,,3.864375,0.03988233425888585,0.6543749999999999,0.05755411006989422,3.04,0.028284271247461926,0.9099999999999999,0.021213203435596403,3.4539999999999997,0.059099915397570556,0.622,0.09039469010954128,4.1242857142857146,0.0308952901012002,-0.41857142857142854,0.20875166939504614,3.97,0.0,0.81,0.0,4.355,0.1025304832720494,0.425,0.30759144981614817
202,1013.5,3.3879999999999995,0.07905795342658448,0.3024,0.034665948710514184,3.3505555555555557,0.04992879016951539,0.6822222222222222,0.060855807900981884,3.9563,0.08089301576774123,0.38765000000000005,0.061836488014763574,3.256,0.0,-0.105,0.0,3.41,0.04320493798938578,-0.5033333333333333,0.2682177114598153,3.5300000000000002,0.07778174593052029,0.63,0.04949747468305829,2.77,0.0,1.2,0.0,3.89,0.0,0.02,0.0,2.96,0.0,0.98,0.0,,,,,3.99,0.0,0.12,0.0,3.59,0.007071067811865481,-0.63,0.007071067811865481,3.17,0.06363961030678918,0.77,0.11313708498984762,3.45,0.0,1.1,0.0,3.6399999999999997,0.1697056274847714,0.255,0.19445436482630057,3.5599999999999996,0.13835771443203718,0.8285714285714285,0.07454429094138165,3.0133333333333336,0.019051586888313522,0.96,0.062360956446232386,3.44,0.0668331255192114,0.77,0.04496912521077348,4.008,0.0732884711260919,-0.362,0.1762135068602858,4.09,0.0,0.84,0.0,4.35,0.03535533905932756,0.655,0.1025304832720494
203,1018.5,3.1952,0.036555054370086805,0.3276,0.030634098648401584,3.347,0.037537314768107746,0.458,0.09056931047545852,4.00545,0.05872521817754266,0.347,0.004454772721475249,3.278,0.0,-0.07,0.0,3.225,0.049074772881118174,-0.7150000000000001,0.054848275573014464,,,,,2.9050000000000002,0.1166726188957802,0.9550000000000001,0.19445436482630052,3.69,0.0,0.07,0.0,2.74,0.0,0.84,0.0,3.13,0.0,0.65,0.0,3.5666666666666664,0.03030707043774638,0.5233333333333333,0.013608276348795448,3.2800000000000002,0.09899494936611658,-0.23,0.06363961030678927,3.04,0.06363961030678918,0.8,0.13435028842544403,3.27,0.0,1.08,0.0,3.5,0.04602572483882002,0.2857142857142857,0.0861857780506298,3.3411111111111116,0.072084388893054,0.658888888888889,0.06342964303787471,2.85,0.07778174593052013,1.01,0.0,3.258,0.03433948165013563,0.752,0.0579240882535064,3.79375,0.05174871677152973,-0.04625,0.12111380882252856,4.35,0.0,0.79,0.0,3.915,0.08838834764831843,0.88,0.035355339059327404
204,1023.5,3.0518,0.026655430966315317,0.3196,0.07982460773470798,2.9823809523809524,0.01861295433001029,0.6485714285714286,0.05685357615950857,3.7173,0.0,0.3261,0.0,3.0015,0.018738329701443485,-0.1305,0.01590990257669732,3.14,0.03464101615137758,-0.585,0.04330127018922194,2.98,0.0,0.5,0.0,2.8200000000000003,0.049497474683058366,1.07,0.035355339059327404,3.67,0.0,0.05,0.0,2.515,0.017677669529663625,0.7150000000000001,0.1237436867076458,,,,,3.33,0.0,0.73,0.0,3.13,0.0919238815542511,-0.185,0.010606601717798212,2.89,0.10606601717798206,1.06,0.04949747468305829,3.48,0.0,1.1,0.0,3.64,0.0,0.1,0.0,3.6159999999999997,0.08957901539981335,0.5879999999999999,0.05935991913741122,2.73,0.10606601717798206,1.02,0.07778174593052017,3.04,0.0523211238411409,0.52,0.09918417212438688,3.7689999999999997,0.09475705778463153,0.14799999999999996,0.11334725404702137,4.0,0.0,0.74,0.0,4.12,0.06363961030678918,0.8200000000000001,0.07071067811865477
