Sample ID,"Composite Depth, m",d13C,d180
758A 2-5 121,14.63,-0.08,3.36
758A 2-5 121,14.63,0.02,3.06
758A 2-5 131,14.73,-0.32,3.73
758A 2-5 131,14.73,-0.18,3.35
758A 2-6 001,14.93,-0.24,3.81
758A 2-6 001,14.93,-0.14,4.01
758A 2-6 011,15.03,-0.12,3.56
758A 2-6 011,15.03,-0.11,3.53
758A 2-6 021,15.13,-0.11,3.45
758A 2-6 021,15.13,0.01,3.41
758A 2-6 031,15.23,0.02,3.56
758A 2-6 031,15.23,-0.13,3.68
758A 2-6 041,15.33,-0.22,3.56
758A 2-6 041,15.33,-0.15,3.51
758A 2-6 051,15.43,-0.1,3.49
758A 2-6 051,15.43,-0.08,3.67
758A 2-6 061,15.53,0.03,3.51
758A 2-6 061,15.53,0.05,3.3
758A 2-6 071,15.63,-0.05,3.68
758A 2-6 071,15.63,0.02,3.55
758A 2-6 081,15.73,0.1,3.37
758A 2-6 081,15.73,0.23,3.58
758A 2-6 091,15.83,0.18,3.45
758A 2-6 091,15.83,0.11,3.31
758A 2-6 101,15.93,0.07,3.75
758A 2-6 111,16.03,-0.03,3.46
758A 2-6 121,16.13,-0.19,3.51
758A 2-6 131,16.23,-0.18,3.72
758A 2-6 141,16.33,-0.29,3.66
758A 2-7 001,16.43,-0.28,3.78
758A 2-7 001,16.43,-0.24,3.68
758A 2-7 011,16.53,-0.21,3.63
758A 2-7 011,16.53,-0.39,3.49
758A 2-7 021,16.63,0.03,3.03
758A 2-7 031,16.73,0.12,2.75
758A 2-7 031,16.73,0.29,2.82
758A 2-7 041,16.83,0.05,3.42
758A 2-7 051,16.93,0.09,3.47
758A 2-7 061,17.03,-0.08,3.73
758A 2-7 071,17.13,-0.04,3.58
758A 2CC 00,17.2,0.02,3.54
758B 2-5 021,17.21,0.06,3.31
758B 2-5 031,17.31,-0.15,3.64
758B 2-5 041,17.41,-0.22,3.44
758B 2-5 051,17.51,-0.13,3.47
758B 2-5 061,17.61,0,3.1
758B 2-5 071,17.71,0.18,3.12
758B 2-5 071,17.71,0.56,3.49
758A 3-1 021,17.72,0.24,3.21
758A 3-1 031,17.82,-0.12,3.06
758A 3-1 041,17.92,0.28,3.1
758A 3-1 051,18.02,0.2,3.3
758A 3-1 061,18.12,0.19,3.12
758A 3-1 071,18.22,-0.28,4.1
758A 3-1 071,18.22,-0.52,3.71
758A 3-1 081,18.32,-0.15,4.18
758A 3-1 091,18.42,-0.19,4.02
758A 3-1 101,18.52,-0.21,3.7
758A 3-1 101,18.52,-0.03,3.72
758A 3-1 111,18.62,0.03,3.5
758A 3-1 121,18.72,0.05,3.47
758A 3-1 121,18.72,0.14,2.98
758A 3-1 131,18.82,-0.1,3.24
758A 3-1 141,18.92,-0.21,3.47
758A 3-1 141,18.92,-0.29,3.4
758A 3-2 001,19.02,-0.22,3.78
758A 3-2 011,19.12,-0.06,3.79
758A 3-2 011,19.12,-0.2,3.98
758A 3-2 021,19.22,-0.08,3.63
758A 3-2 021,19.22,-0.04,3.69
758A 3-2 031,19.32,0.29,3.43
758A 3-2 031,19.32,0.05,3.25
758A 3-2 041,19.42,0.12,3.19
758A 3-2 041,19.42,0.09,3.52
758A 3-2 051,19.52,-0.03,3.31
758A 3-2 061,19.62,-0.19,3.39
758A 3-2 061,19.62,-0.14,3.93
758A 3-2 071,19.72,-0.23,3.61
758A 3-2 071,19.72,-0.4,3.72
758A 3-2 081,19.82,0.04,3.9
758A 3-2 081,19.82,-0.03,3.63
758A 3-2 081,19.82,-0.19,3.81
758A 3-2 091,19.92,0.06,3.71
758A 3-2 091,19.92,0.11,3.66
758A 3-2 101,20.02,0.16,3.31
758A 3-2 101,20.02,0.34,3.5
758A 3-2 111,20.12,-0.03,3.3
758A 3-2 121,20.22,-0.15,3.58
758A 3-2 121,20.22,-0.15,3.48
758A 3-2 131,20.32,-0.29,3.61
758A 3-2 131,20.32,-0.17,3.75
758A 3-2 141,20.42,-0.19,3.76
758A 3-2 141,20.42,-0.19,3.77
758A 3-2 141,20.42,-0.3,3.46
758A 3-3 001,20.52,-0.17,3.61
758A 3-3 001,20.52,-0.13,3.43
758A 3-3 011,20.62,0.17,2.99
758A 3-3 011,20.62,0.19,3.19
758A 3-3 021,20.72,0.2,3.28
758A 3-3 021,20.72,0.13,3.25
758A 3-3 031,20.82,-0.02,3.7
758A 3-3 031,20.82,-0.09,3.68
758A 3-3 041,20.92,0.05,3.28
758A 3-3 041,20.92,-0.05,3.65
758A 3-3 051,21.02,-0.16,3.65
758A 3-3 051,21.02,0,3.54
758A 3-3 061,21.12,-0.24,3.42
758A 3-3 061,21.12,-0.16,3.08
758A 3-3 071,21.22,-0.17,3.56
758A 3-3 071,21.22,0.12,3.22
758A 3-3 081,21.32,0.2,3.37
758A 3-3 081,21.32,0.19,3.5
758A 3-3 091,21.42,0.33,3.16
758A 3-3 091,21.42,0.05,3.25
758A 3-3 101,21.52,0,3.39
758A 3-3 101,21.52,0.19,3.07
758A 3-3 111,21.62,-0.19,3.72
758A 3-3 111,21.62,-0.17,3.64
758A 3-3 121,21.72,-0.14,3.79
758A 3-3 131,21.82,-0.44,3.1
758A 3-3 131,21.82,-0.03,3.7
758A 3-3 141,21.92,0.12,3.32
758A 3-3 141,21.92,-0.06,3.74
758A 3-4001,22.02,0,3.58
758A 3-4011,22.12,0.18,3.07
758A 3-4011,22.12,0.32,2.82
758A 3-4021,22.22,0.08,3.03
758A 3-4 031,22.32,-0.09,2.98
758A 3-4 041,22.42,-0.24,3.75
758A 3-4 051,22.52,-0.17,3.64
758A 3-4 061,22.62,-0.11,3.88
758A 3-4 061,22.62,0.02,3.79
758A 3-4 071,22.72,0.16,3.29
758A 3-4 071,22.72,0.37,3.21
758A 3-4 081,22.82,0.37,3.16
758A 3-4 091,22.92,0.48,3.18
758A 3-4 101,23.02,-0.03,3.88
758A 3-4 111,23.12,0.06,3.93
758A 3-4 111,23.12,-0.06,3.63
758A 3-4 111,23.12,0.08,3.7
758A 3-4 121,23.22,0.12,3.89
758A 3-4 131,23.32,0.19,3.42
758A 3-4 141,23.42,0.33,3.46
758A 3-5 001,23.52,0.26,2.93
758A 3-5 011,23.62,0.13,3.47
758A 3-5 011,23.62,0.03,3.71
758A 3-5 021,23.72,-0.16,3.7
758A 3-5 031,23.82,0.06,3.76
758A 3-5 041,23.92,0.08,3.92
758A 3-5 051,24.02,0.1,3.25
758A 3-5 051,24.02,0.16,3.28
758A 3-5 061,24.12,0.19,3.4
758A 3-5 061,24.12,0.27,3.21
758A 3-5 071,24.22,0,3.18
758A 3-5 081,24.32,-0.02,3.81
758A 3-5 081,24.32,0.01,3.53
758A 3-5 081,24.32,0.02,3.16
758A 3-5 091,24.42,0.08,3.91
758A 3-5 091,24.42,-0.03,3.9
758A 3-5 101,24.52,0.04,3.85
758A 3-5 101,24.52,-0.04,3.91
758A 3-5 111,24.62,0.2,3.62
758A 3-5 111,24.62,-0.14,3.39
758A 3-5 121,24.72,-0.03,3.59
758A 3-6 001,25.02,0.13,3.49
758A 3-6 001,25.02,0.26,3.63
758A 3-6 011,25.12,0.08,3.46
758A 3-6 011,25.12,0.48,3.29
758A 3-6 021,25.22,0.32,3.62
758A 3-6 021,25.22,0.2,3.58
758A 3-6 031,25.32,0.2,3.67
758A 3-6 041,25.42,0.15,3.43
758A 3-6 051,25.52,0.25,3.38
758A 3-6 051,25.52,0.03,3.59
758A 3-6 061,25.62,0.02,3.77
758A 3-6 071,25.72,-0.21,3.7
758A 3-6 081,25.82,-0.02,3.91
758A 3-6 081,25.82,-0.07,4.01
758A 3-6 081,25.82,0.04,3.79
758A 3-6 091,25.92,-0.17,3.96
758A 3-6 091,25.92,-0.03,4.04
758A 3-6 091,25.92,-0.05,3.88
758A 3-6 101,26.02,-0.2,4.06
758A 3-6 111,26.12,0.17,3.7
758A 3-6 111,26.12,-0.09,4.19
758A 3-6 121,26.22,0.19,3.62
758A 3-6 121,26.22,0.12,3.71
758A 3-6 131,26.32,-0.03,3.73
758A 3-6 141,26.42,-0.04,3.41
758A 3-6 141,26.42,-0.21,3.43
758A 3-6 141,26.42,0.03,3.47
758A 3-7 001,26.52,-0.2,3.68
758A 3-7 001,26.52,-0.09,3.51
758A 3-7 011,26.62,-0.35,3.64
758A 3-7 011,26.62,-0.38,3.65
758A 3-7 021,26.72,-0.29,4
758A 3-7 021,26.72,-0.07,3.86
758A 3-7 021,26.72,-0.16,3.78
758A 3-7 031,26.82,-0.19,3.66
758A 3-7 031,26.82,-0.15,3.18
758A 3-7 041,26.92,-0.16,3.52
758A 3-7 041,26.92,-0.29,3.05
758A 3-7051,27.02,0.01,3.81
758A 3-7 051,27.02,-0.08,3.59
758A 3-7 061,27.12,-0.07,3.57
758A 3-7 061,27.12,0.08,3.78
758B 3-3 141,27.13,-0.19,3.18
758B 3-3 141,27.13,0,3.59
758B 3-4 001,27.23,-0.09,3.24
758B 3-4 011,27.33,-0.11,3.35
758B 3-4011,27.33,-0.13,3.68
758B 3-4021,27.43,-0.25,3.64
758B 3-4 021,27.43,-0.21,3.67
758B 3-4 031,27.53,-0.16,3.29
758B 3-4 031,27.53,-0.01,3.49
758B 3-4041,27.63,0.13,3.28
758B 3-4 051,27.73,0.18,3.17
758B 3-4 073,27.95,0.28,3.01
758B 3-4 081,28.03,0.05,3.39
758B 3-4 091,28.13,-0.08,2.86
758B 3-4 101,28.23,-0.19,3.43
758B 3-4 111,28.33,-0.19,3.54
758B 3-4 121,28.43,-0.02,3.36
758B 3-4 121,28.43,-0.17,3.26
758B 3-4 131,28.53,0.08,3
758B 3-4 141,28.63,-0.01,3.24
758B 3-4 141,28.63,0.1,3.38
758B 3-5 001,28.73,0.09,3.16
758B 3-5 001,28.73,0.13,3.22
758B 3-5 011,28.83,-0.1,3.44
758B 3-5 021,28.93,0,3.32
