Exp,Site,Hole,Core,Section,Top offset cm,Bottom offset cm,Sample depth CSF m,Sample Depth CCSF m,U. peregrina δ13C (PDB‰),U. peregrina δ18O (PDB‰),U. peregrina size (mm) & note,U. auberiana size (mm) & note,U. auberiana δ18O (PDB‰),U. auberiana size (mm) & note,U. mediterranea δ13C (PDB‰),U. mediterranea δ18O (PDB‰),U. mediterranea size (mm) & note,U. spp δ13C (PDB‰),U. spp δ18O (PDB‰),U. spp size (mm) & note,C. brady δ13C (PDB‰),C. brady δ18O (PDB‰),C. brady size (mm) & note,C. lobatulus δ13C (PDB‰),C. lobatulus δ18O (PDB‰),C. lobatulus size (mm) & note,C. mundulus δ13C (PDB‰),C. mundulus δ18O (PDB‰),C. mundulus size (mm) & note,C. robertsonianus δ13C (PDB‰),C. robertsonianus δ18O (PDB‰),C. robertsonianus size (mm) & note,C. wuellerstorfi δ13C (PDB‰),C. wuellerstorfi δ18O (PDB‰),C. wuellerstorfi size (mm) & note,C. spp δ13C (PDB‰),C. spp δ18O (PDB‰),C. spp size (mm) & note
363,U1489,D,3,4,120,122,18.91,21.76,-0.87,3.8,1,,,,,,,,,,-0.256,3.083,0.75,,,,-0.191,3.301,0.5,,,,,,,,,
363,U1489,D,3,5,20,22,19.41,22.26,,,,,,,,,,,,,,,,,,,-0.218,3.671,0.4,,,,,,,,,
363,U1489,D,3,5,70,72,19.91,22.76,-1.19,4.04,1,,,,,,,,,,-0.795,3.543,0.5,,,,-0.638,3.433,0.6,,,,,,,,,
363,U1489,D,3,5,120,122,20.41,23.26,-0.92,3.23,0.75,,,,,,,,,,,,,,,,-0.243,2.645,0.6,,,,,,,,,
363,U1489,D,3,6,20,22,20.91,23.76,-0.86,4.14,0.75,,,,,,,,,,,,,,,,-0.363,3.625,0.5,,,,,,,,,
363,U1489,D,3,6,70,72,21.41,24.26,,,,-1.22,4.07,0.75,,,,,,,,,,,,,-0.416,3.868,0.4,,,,,,,,,
363,U1489,D,3,6,120,122,21.91,24.76,-0.75,3.73,0.75,,,,,,,,,,,,,,,,-0.054,2.916,0.6,,,,,,,,,
363,U1489,D,3,7,20,22,22.41,25.26,-0.8,3.7,0.75,,,,,,,,,,,,,,,,0.091,2.997,0.75,,,,,,,,,
363,U1489,B,3,6,70,72,23.41,25.29,-1,4.03,0.75,,,,,,,,,,,,,,,,-0.115,3.375,0.4-0.6 ,,,,,,,,,
363,U1489,B,3,6,115,117,23.86,25.74,-1.21,4.43,0.5-0.75,,,,,,,,,,,,,,,,-0.426,3.668,0.5,,,,,,,,,
