mcd,ageSBP90,C13,O18
3982,987,0.14,3.27
3997,989.65,0.51,3.31
4012,992.29,0.91,3.23
4032,995.82,0.91,2.97
4049,998.82,0.82,3.13
4057,1000.2,0.93,2.92
4074,1003.2,0.4,3.48
4084,1005,0.44,3.58
4102,1008.9,0.93,3.26
4117,1012.2,0.61,3.08
4147,1018.7,0.61,2.95
4162,1021.9,0.99,2.74
4167,1023,1.13,3.04
4182.5,1026.1,0.94,2.9
4196.5,1028.9,0.95,3.13
4226.5,1034.8,0.83,3.62
4232.5,1036,0.95,3.64
4242.5,1038,1,3.82
4256.5,1040.6,0.85,3.74
4286.5,1046.2,0.78,3.87
4354,1058.8,0.76,3.24
4371,1062,1.03,2.42
4379,1064.6,1.08,2.53
4467,1093.1,0.77,3.05
4490,1100.1,0.5,3.11
4557,1116.3,0.8,3.19
4587,1122,0.24,3.53
4602,1131,-0.6,3.99
4609,1137,0.09,3.51
4624,1139.8,0.54,3.34
4641,1143,0.27,3.19
4664,1149.8,0.46,3.14
4692,1158,0.94,2.76
4730,1163.8,1.07,2.73
4752,1167.1,0.97,2.75
4767,1169.4,1.06,2.77
4780,1171.3,0.94,2.85
4791,1173,1.01,3.08
4804,1176.3,0.91,2.67
4812,1178.3,0.92,2.72
4829,1182.5,0.74,2.79
4842,1185.8,0.89,3.45
4846,1186.8,0.74,2.9
4857,1189.5,0.69,3.6
4902,1201,0.61,3.86
4917,1205,0.26,3.57
4932,1209,-0.21,3.58
4979,1221.6,0.46,3.03
4992,1225.1,0.83,2.96
5007,1229.1,0.92,2.54
5022,1233.1,0.88,2.47
5037,1237.1,0.64,2.56
5052,1241.1,0.63,2.53
5121,1258,0.67,3.92
5129,1259.7,0.3,3.58
5170,1268.6,0.89,3.14
5187,1272.3,1.16,3.11
5202,1275.6,1.14,3.24
5225.5,1280.7,1.01,3.28
5239.5,1283.7,0.6,3.18
5254.5,1287,0.48,3.71
5265.5,1292.1,0.04,3.71
5269.5,1294,0.28,3.6
5284.5,1301,0.41,3.59
5336.5,1317,0.99,2.9
5361.5,1323,1.1,3.3
5404.5,1326.8,1.15,2.74
5434.5,1329.4,1.1,3.14
5449.5,1330.7,0.23,3.58
5486.5,1338.2,1.06,2.92
5539.5,1353,1.13,2.73
5569.5,1356.7,0.99,3.07
5584.5,1358.5,1.02,3.2
5599.5,1360.4,0.98,3.45
5612.5,1362,0.87,3.57
5636.5,1370.1,0.27,3.55
5646.5,1373.4,1.1,3.53
5704.5,1393,1.11,2.99
5719.5,1398,1.14,2.8
5734.5,1405.5,1.05,2.95
5749.5,1413,1.04,3.41
5766.5,1418.1,0.72,3.51
5792.5,1425.9,0.42,3.24
5802.5,1428.9,0.61,3.46
5824.5,1435.5,1.09,2.98
5839.5,1440,1.06,2.59
5854.5,1446,1.03,2.69
5869.5,1452,0.46,2.84
5913.5,1459.2,0.01,3.48
5920.5,1460.3,0.24,3
5989.5,1473.5,0.98,2.92
6019.5,1480.5,0.89,2.67
6049.5,1487.5,1.15,2.7
6064.5,1491,0.77,2.74
6086.5,1500,0.57,3.63
6094.5,1502,0.53,3.73
6111.5,1506.2,0.56,3.8
6124.5,1509.4,0.29,3.58
6139.5,1513.1,0.6,3.36
6147.5,1515.1,0.96,3.44
6154.5,1516.9,1.01,3.36
6169.5,1520.6,1.22,3
6184.5,1524.3,1.05,2.94
6199.5,1528,1.17,3.02
