Age,n-alkanes MAR
(ka),(mg m-2 y-1)
2184.27,6.15
2187.76,8.17
2190.90,6.79
2193.99,3.94
2196.94,3.08
2197.93,3.09
2202.86,2.31
2205.82,2.27
2208.78,2.60
2211.73,2.56
2214.69,2.51
2217.65,2.58
2220.61,2.61
2226.52,2.69
2229.48,2.58
2232.44,2.85
2235.40,2.87
2295.10,8.69
2300.99,4.59
2306.89,4.45
2312.78,4.85
2318.67,5.62
2324.57,5.09
2328.25,4.60
2331.20,4.35
2333.41,4.44
2335.62,4.32
2337.83,4.50
2340.04,4.72
2342.25,5.63
2344.46,6.85
2346.67,6.28
2348.88,6.65
2351.09,5.14
2353.30,5.06
2355.51,4.53
2357.72,2.33
2391.20,4.56
2394.50,4.28
2397.79,5.13
2401.09,4.35
2404.39,4.37
2407.69,5.03
2410.98,7.32
2413.62,8.11
2416.92,8.83
2419.56,9.39
2422.19,6.66
2424.83,3.91
2426.81,3.30
2430.11,3.79
2432.74,4.07
2435.38,3.52
2438.75,2.80
2441.82,2.77
2444.89,2.51
2446.94,2.84
2451.04,3.43
2454.11,3.31
2457.18,3.00
2460.25,2.83
2463.32,2.97
2466.40,2.76
2469.47,2.21
2472.54,2.00
2475.61,1.97
2478.68,2.11
2480.73,2.14
2482.78,2.30
2484.83,2.60
2486.88,3.10
2489.76,2.76
2493.47,2.27
2497.18,2.09
2500.90,2.79
2506.47,2.30
2512.04,2.77
2515.75,3.11
2519.46,4.32
2523.18,3.72
2525.03,2.34
2530.60,2.95
2534.32,3.29
2538.03,3.93
2539.89,3.47
2541.74,3.03
2577.10,4.44
2579.34,3.30
2581.59,3.52
2583.83,4.06
2586.07,3.96
2588.32,3.28
2590.56,3.49
2592.80,3.58
2595.04,4.85
2599.53,6.11
2602.90,11.19
2605.14,7.67
2609.62,4.58
2612.99,5.15
2616.35,4.07
2619.16,3.47
2623.08,3.39
2629.81,3.46
2633.18,3.80
2636.54,6.22
2639.91,4.51
2641.59,5.72
2650.00,3.50
2652.84,2.72
2654.97,2.83
2659.23,1.95
2663.49,2.30
2665.62,2.44
2667.75,2.51
2669.89,2.77
2672.02,3.36
2674.15,3.20
2676.28,3.88
2678.41,4.02
2680.54,5.23
2682.67,7.08
2684.80,4.90
2686.93,4.72
2689.06,4.39
2692.61,5.35
2694.74,3.00
2699.71,1.92
2704.69,2.00
2706.82,1.97
2714.63,1.83
2719.60,2.97
2725.01,1.16
2729.87,1.27
2731.49,1.58
2733.11,1.31
2734.73,1.60
2737.96,1.59
2739.58,1.53
2741.20,1.55
2744.44,1.38
2750.91,1.11
2757.39,1.08
2780.05,1.23
2781.67,1.38
2786.52,1.53
2789.76,1.79
2793.00,2.26
2796.24,2.18
2797.85,2.42
2853.88,2.01
2864.04,1.92
2869.11,1.94
2874.19,1.27
2884.35,1.34
2889.42,1.13
2895.52,1.46
2901.61,1.87
2907.70,1.02
2913.79,0.97
2919.89,1.22
2925.98,1.31
2932.07,1.25
2938.16,1.46
2944.26,1.31
2950.35,1.32
2956.44,1.67
2962.53,2.33
2968.63,2.06
2974.72,2.53
2980.81,2.97
2986.90,1.40
2993.00,1.45
3005.18,1.66
3011.27,2.42
3017.37,2.28
3023.46,3.31
3029.55,2.54
3035.64,1.68
3053.92,1.54
3060.01,1.43
3072.20,1.02
3078.29,0.97
3084.39,1.02
3090.48,1.47
3096.57,1.26
3102.66,1.24
3108.76,1.56
3114.85,2.45
3120.94,3.56
3127.03,2.07
3133.13,2.05
3139.22,2.46
3145.31,1.16
3151.18,1.65
3155.36,2.01
3163.70,1.91
3167.87,1.95
3172.05,1.48
3176.22,1.35
3180.39,1.43
3184.56,1.39
3188.73,1.31
3192.91,1.23
3197.08,1.50
3201.25,1.93
3205.42,1.61
3209.59,1.58
3213.77,1.60
3217.94,1.79
3222.11,2.22
3226.28,3.28
3230.46,2.99
3234.63,3.87
3238.80,2.76
3242.97,2.58
3247.14,2.35
3251.32,2.78
3255.49,2.78
3259.66,3.28
3263.83,2.77
3268.01,2.55
3277.04,3.40
3281.22,2.48
3286.95,5.71
3292.74,5.63
3298.53,4.60
3304.32,7.12
3310.11,4.29
3316.10,1.55
3325.37,2.34
3343.92,2.41
3353.19,2.69
3362.46,2.45
3371.73,1.53
3381.00,2.71
3390.27,2.36
3399.54,1.79
3408.81,1.57
3418.08,2.11
3427.35,1.26
3436.62,0.73
3445.37,1.08
3454.09,1.80
3462.80,1.70
3471.52,1.46
3480.23,1.13
3488.94,1.46
3497.66,1.28
3506.37,1.78
3515.09,0.67
3523.80,1.11
3532.51,1.19
3541.23,1.45
3549.94,1.83
3558.66,1.38
3567.37,1.60
3576.08,0.63
3584.80,0.62
3593.51,1.19
3602.23,1.65
3610.87,1.39
3617.37,1.92
3623.88,4.10
3630.38,1.26
3643.39,1.69
3649.90,1.85
3656.41,1.28
3662.91,1.34
3669.42,2.04
3675.92,2.72
3682.43,1.37
3688.93,1.27
3695.44,1.14
3701.94,1.33
3708.92,1.82
3715.94,1.31
3722.97,1.72
3730.00,1.87
3737.02,1.40
3744.05,0.91
3751.08,1.02
3758.10,0.98
3765.13,0.95
3772.15,1.10
3779.18,1.34
3786.21,1.61
3793.23,2.34
3800.26,1.22
3807.36,2.77
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
