"Exp","Site","Hole","Core","Type","Sect","A/W","Top depth CSF-A (m)","Bottom depth CSF-A (m)","Top depth CCSF-361-U1474-ABDEF-20160220 (m)","Bottom depth CCSF-361-U1474-ABDEF-20160220 (m)","Display status (T/F)","Uncropped image (JPG) link","Uncropped image filename","Cropped image (JPG) link","Cropped image filename","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Comments"
"361","U1474","A","6","H","CC","A","53.060","53.320","55.443","55.702","T","33394021","361-u1474a-6h-cc-a_shlf7600121_20160211081102.jpg","33394031","361-u1474a-6h-cc-a_shlf7600121_20160211081102_trim.jpg","2016-02-11 14:41:55","CV-L107C-L170542B","SHIL","SHLF7600121","94888691",""
"361","U1474","A","7","H","2","A","54.400","55.900","57.013","58.513","T","33395191","361-u1474a-7h-2-a_shlf7600481_20160211092210.jpg","33395211","361-u1474a-7h-2-a_shlf7600481_20160211092210_trim.jpg","2016-02-11 15:28:27","CV-L107C-L170542B","SHIL","SHLF7600481","94893371",""
"361","U1474","A","7","H","3","A","55.900","57.400","58.513","60.013","T","33395281","361-u1474a-7h-3-a_shlf7600511_20160211092533.jpg","33395291","361-u1474a-7h-3-a_shlf7600511_20160211092533_trim.jpg","2016-02-11 15:29:01","CV-L107C-L170542B","SHIL","SHLF7600511","94893401",""
"361","U1474","A","7","H","4","A","57.400","58.900","60.013","61.513","T","33395331","361-u1474a-7h-4-a_shlf7600541_20160211092736.jpg","33395341","361-u1474a-7h-4-a_shlf7600541_20160211092736_trim.jpg","2016-02-11 15:31:40","CV-L107C-L170542B","SHIL","SHLF7600541","94893431",""
"361","U1474","A","7","H","5","A","58.900","60.400","61.513","63.013","T","33396011","361-u1474a-7h-5-a_shlf7600571_20160211094634.jpg","33396021","361-u1474a-7h-5-a_shlf7600571_20160211094634_trim.jpg","2016-02-11 15:48:10","CV-L107C-L170542B","SHIL","SHLF7600571","94898071",""
"361","U1474","A","7","H","6","A","60.400","61.900","63.013","64.513","T","33395721","361-u1474a-7h-6-a_shlf7600601_20160211093250.jpg","33395751","361-u1474a-7h-6-a_shlf7600601_20160211093250_trim.jpg","2016-02-11 15:39:05","CV-L107C-L170542B","SHIL","SHLF7600601","94894481",""
"361","U1474","A","7","H","7","A","61.900","62.690","64.513","65.303","T","33395711","361-u1474a-7h-7-a_shlf7600631_20160211093443.jpg","33395761","361-u1474a-7h-7-a_shlf7600631_20160211093443_trim.jpg","2016-02-11 15:39:05","CV-L107C-L170542B","SHIL","SHLF7600631","94894501",""
"361","U1474","A","8","H","1","A","62.400","63.900","66.017","67.517","T","33429591","361-u1474a-8h-1-a_shlf7600971_20160211114200.jpg","33429601","361-u1474a-8h-1-a_shlf7600971_20160211114200_trim.jpg","2016-02-12 08:21:02","CV-L107C-L170542B","SHIL","SHLF7600971","94992541",""
"361","U1474","A","7","H","CC","A","62.690","63.010","65.303","65.623","T","33395661","361-u1474a-7h-cc-a_shlf7600661_20160211093647.jpg","33395701","361-u1474a-7h-cc-a_shlf7600661_20160211093647_trim.jpg","2016-02-11 15:39:02","CV-L107C-L170542B","SHIL","SHLF7600661","94894491",""
"361","U1474","A","8","H","2","A","63.900","65.400","67.517","69.017","T","33429641","361-u1474a-8h-2-a_shlf7601001_20160211114537.jpg","33429651","361-u1474a-8h-2-a_shlf7601001_20160211114537_trim.jpg","2016-02-12 08:21:34","CV-L107C-L170542B","SHIL","SHLF7601001","94992551",""
"361","U1474","A","8","H","3","A","65.400","66.900","69.017","70.517","T","33421731","361-u1474a-8h-3-a_shlf7601031_20160211114844.jpg","33422231","361-u1474a-8h-3-a_shlf7601031_20160211114844_trim.jpg","2016-02-12 05:06:18","CV-L107C-L170542B","SHIL","SHLF7601031","94974051",""
"361","U1474","A","8","H","4","A","66.900","68.400","70.517","72.017","T","33429671","361-u1474a-8h-4-a_shlf7601061_20160211115307.jpg","33429681","361-u1474a-8h-4-a_shlf7601061_20160211115307_trim.jpg","2016-02-12 08:21:41","CV-L107C-L170542B","SHIL","SHLF7601061","94992561",""
"361","U1474","A","8","H","5","A","68.400","69.900","72.017","73.517","T","33421801","361-u1474a-8h-5-a_shlf7601091_20160211115611.jpg","33422261","361-u1474a-8h-5-a_shlf7601091_20160211115611_trim.jpg","2016-02-12 05:06:19","CV-L107C-L170542B","SHIL","SHLF7601091","94974641",""
"361","U1474","A","8","H","6","A","69.900","71.400","73.517","75.017","T","33421641","361-u1474a-8h-6-a_shlf7601121_20160211120043.jpg","33422161","361-u1474a-8h-6-a_shlf7601121_20160211120043_trim.jpg","2016-02-12 05:06:13","CV-L107C-L170542B","SHIL","SHLF7601121","94973981",""
"361","U1474","A","8","H","7","A","71.400","72.140","75.017","75.757","T","33421681","361-u1474a-8h-7-a_shlf7601151_20160211120352.jpg","33422171","361-u1474a-8h-7-a_shlf7601151_20160211120352_trim.jpg","2016-02-12 05:06:14","CV-L107C-L170542B","SHIL","SHLF7601151","94973991",""
"361","U1474","A","9","H","1","A","71.900","73.400","77.471","78.971","T","33421671","361-u1474a-9h-1-a_shlf7601611_20160211131710.jpg","33422211","361-u1474a-9h-1-a_shlf7601611_20160211131710_trim.jpg","2016-02-12 08:22:16","CV-L107C-L170542B","SHIL","SHLF7601611","94992751",""
"361","U1474","A","8","H","CC","A","72.140","72.280","75.757","75.897","T","33422061","361-u1474a-8h-cc-a_shlf7601181_20160211120601.jpg","33422221","361-u1474a-8h-cc-a_shlf7601181_20160211120601_trim.jpg","2016-02-12 05:06:17","CV-L107C-L170542B","SHIL","SHLF7601181","94974121",""
"361","U1474","A","9","H","2","A","73.400","74.900","78.971","80.471","T","33421691","361-u1474a-9h-2-a_shlf7601641_20160211131933.jpg","33422181","361-u1474a-9h-2-a_shlf7601641_20160211131933_trim.jpg","2016-02-12 05:06:16","CV-L107C-L170542B","SHIL","SHLF7601641","94974431",""
"361","U1474","A","9","H","3","A","74.900","76.400","80.471","81.971","T","33429751","361-u1474a-9h-3-a_shlf7601671_20160211132202.jpg","33429761","361-u1474a-9h-3-a_shlf7601671_20160211132202_trim.jpg","2016-02-12 08:22:24","CV-L107C-L170542B","SHIL","SHLF7601671","94992761",""
"361","U1474","A","9","H","4","A","76.400","77.900","81.971","83.471","T","33421871","361-u1474a-9h-4-a_shlf7601701_20160211132418.jpg","33422281","361-u1474a-9h-4-a_shlf7601701_20160211132418_trim.jpg","2016-02-12 05:06:19","CV-L107C-L170542B","SHIL","SHLF7601701","94974551",""
"361","U1474","A","9","H","5","A","77.900","79.400","83.471","84.971","T","33422081","361-u1474a-9h-5-a_shlf7601731_20160211132625.jpg","33422191","361-u1474a-9h-5-a_shlf7601731_20160211132625_trim.jpg","2016-02-12 05:06:18","CV-L107C-L170542B","SHIL","SHLF7601731","94974281",""
"361","U1474","A","9","H","6","A","79.400","80.900","84.971","86.471","T","33429801","361-u1474a-9h-6-a_shlf7601761_20160211133007.jpg","33429811","361-u1474a-9h-6-a_shlf7601761_20160211133007_trim.jpg","2016-02-12 08:23:15","CV-L107C-L170542B","SHIL","SHLF7601761","94992771",""
"361","U1474","A","9","H","7","A","80.900","81.460","86.471","87.031","T","33422091","361-u1474a-9h-7-a_shlf7601791_20160211133157.jpg","33422201","361-u1474a-9h-7-a_shlf7601791_20160211133157_trim.jpg","2016-02-12 05:06:16","CV-L107C-L170542B","SHIL","SHLF7601791","94974421",""
"361","U1474","A","10","H","1","A","81.400","82.900","87.410","88.910","T","33419481","361-u1474a-10h-1-a_shlf7602231_20160211145933.jpg","33419911","361-u1474a-10h-1-a_shlf7602231_20160211145933_trim.jpg","2016-02-12 04:59:07","CV-L107C-L170542B","SHIL","SHLF7602231","94971441",""
"361","U1474","A","9","H","CC","A","81.460","81.710","87.031","87.281","T","33422301","361-u1474a-9h-cc-a_shlf7601821_20160211133545.jpg","33422371","361-u1474a-9h-cc-a_shlf7601821_20160211133545_trim.jpg","2016-02-12 05:06:20","CV-L107C-L170542B","SHIL","SHLF7601821","94974731",""
"361","U1474","A","10","H","2","A","82.900","84.400","88.910","90.410","T","33419391","361-u1474a-10h-2-a_shlf7602261_20160211150124.jpg","33419721","361-u1474a-10h-2-a_shlf7602261_20160211150124_trim.jpg","2016-02-12 04:59:34","CV-L107C-L170542B","SHIL","SHLF7602261","94971451",""
"361","U1474","A","10","H","3","A","84.400","85.900","90.410","91.910","T","33419371","361-u1474a-10h-3-a_shlf7602291_20160211150342.jpg","33419671","361-u1474a-10h-3-a_shlf7602291_20160211150342_trim.jpg","2016-02-12 13:21:57","CV-L107C-L170542B","SHIL","SHLF7602291","95019431",""
"361","U1474","A","10","H","4","A","85.900","87.400","91.910","93.410","T","33419401","361-u1474a-10h-4-a_shlf7602321_20160211150601.jpg","33419761","361-u1474a-10h-4-a_shlf7602321_20160211150601_trim.jpg","2016-02-12 04:59:26","CV-L107C-L170542B","SHIL","SHLF7602321","94971461",""
