Age [ka BP],607,1308,925,659,664,1088,U1474,1090,U1475,758,1143,U1489,846,849,stack,1s,filt
39.0,0.9371442892707076,0.5255016835016835,0.736465788656382,0.7634782608695652,0.5858,0.4556,,-0.3041441315693652,0.2748928571428571,0.2071753182607799,-0.11131333333333329,-0.052093023255813976,-0.21989999999999998,0.0311,0.2953787824364525,0.08592452104186306,0.1138776246121784
40.0,0.9402185679692959,0.5518754208754209,0.7499804507688904,0.7489296947271045,0.5202,0.47140000000000004,,-0.3604439252336449,0.29889285714285707,0.20560949522391084,-0.11061999999999997,-0.03367441860465119,-0.22410000000000002,0.0379,0.29279881576920025,0.08044090106563766,0.11387620351667214
41.0,0.9768363772679562,0.5936363636363635,0.7613506165046202,0.7311958063521431,0.425,0.49000000000000005,,-0.41861366670712474,0.29175000000000006,0.20316787676876183,-0.10349999999999997,-0.015255813953488406,-0.22749999999999998,0.0475,0.2896756939999732,0.0896097204369615,0.11387478850693575
42.0,1.0332993277476037,0.63717,0.7750106249409368,0.7102765957446808,0.3172,0.5074,,-0.45108192741837605,0.29300000000000004,0.19985046289533295,-0.09523466666666662,0.003162790697674389,-0.23169999999999996,0.055499999999999994,0.2895438207747389,0.10890005421796685,0.1138733796796174
43.0,1.073494287959805,0.6688618181818182,0.7909604760778397,0.6944601063829787,0.2138,0.5196000000000001,,-0.4519201359388275,0.33049999999999996,0.19565725360362413,-0.09110533333333329,0.015860465116279046,-0.2383,0.057499999999999996,0.29150656924466184,0.1269461568949076,0.11387197712448933
44.0,1.0885833824096591,0.6887118181818181,0.8081342965912779,0.7030851063829788,0.11479999999999999,0.5266,,-0.4366270178419711,0.35949999999999993,0.1905767127693225,-0.09111199999999994,0.02283720930232556,-0.2473,0.05349999999999999,0.2916543053789101,0.14465075910243985,0.11387058092632314
45.0,1.0849743810031893,0.69672,0.8191270716778923,0.7190425531914894,0.020200000000000006,0.5284000000000001,,-0.4213338997451147,0.35099999999999987,0.18430354773371363,-0.09525466666666663,0.024093023255813938,-0.2587,0.0435,0.2850991132754413,0.16211324212167016,0.11386919117668569
46.0,1.0967427823158946,0.6928863636363636,0.8209604757894683,0.7350000000000001,-0.06999999999999999,0.525,,-0.40604078164825824,0.3220000000000001,0.17709575381429601,-0.1035333333333333,0.019627906976744172,-0.27249999999999996,0.027499999999999997,0.27499658689858425,0.18181144616529743,0.1138678079830673
47.0,1.0987636704079413,0.6841944155844156,0.8136345089260052,0.7509574468085107,-0.13699999999999998,0.516,,-0.3907476635514019,0.3245000000000002,0.1689533310110697,-0.1169273333333333,0.009441860465116267,-0.2879,0.010749999999999996,0.2657566691114418,0.19579620553715693,0.1138664314638138
48.0,1.1221600393612738,0.6776276623376623,0.7971491710875034,0.7669148936170214,-0.16199999999999998,0.501,,-0.3754545454545455,0.30450000000000005,0.15987627932403467,-0.13641599999999998,-0.000744186046511642,-0.3041,-0.0015000000000000035,0.25840229048898905,0.20360965621668467,0.11386506173684138
49.0,1.162575837545288,0.6731861038961039,0.7715044622739629,0.7719148936170213,-0.145,0.4800000000000001,,-0.3601614273576891,0.2935,0.15175020065184394,-0.16199933333333333,-0.01093023255813955,-0.32110000000000005,-0.009250000000000003,0.254323612835806,0.2044629144765037,0.11386369891282112
50.0,1.1900379151684701,0.6708697402597402,0.742881427912207,0.7403900709219859,-0.086,0.453,,-0.3448683092608326,0.30150000000000005,0.14728149222824446,-0.19367733333333334,-0.02111627906976746,-0.3389,-0.012500000000000002,0.2507011682274719,0.19389297057877364,0.11386234309431723
51.0,1.1906143833153886,0.6706785714285715,0.7061597960428564,0.6774434558349453,0.015000000000000008,0.42000000000000004,,-0.3317774001699235,0.3564999999999998,0.14647015405323627,-0.23145000000000002,-0.03130232558139537,-0.35750000000000004,-0.011250000000000001,0.2484463920810845,0.17364829629319867,0.1138609943786745
52.0,1.1578155349971055,0.6638057142857143,0.6602787931639286,0.6034871695680206,0.11910000000000001,0.38420000000000004,,-0.32174511469838574,0.36799999999999977,0.14931618612681935,-0.2681246666666667,-0.04148837209302328,-0.3761,-0.007750000000000002,0.2385393620626102,0.15321911018545717,0.1138596528667006
53.0,1.0966643767717426,0.6414442857142858,0.6052384192754235,0.5185212121212122,0.1874,0.3488,,-0.3147714528462192,0.38449999999999995,0.151785917342163,-0.29650866666666664,-0.05167441860465118,-0.39390000000000003,-0.004250000000000001,0.22180508732597765,0.1396657345041024,0.11385831867680145
54.0,1.0177535012318917,0.6035942857142857,0.5348117299985397,0.43350303030303017,0.21989999999999998,0.3138,,-0.31085641461342395,0.38009999999999977,0.14207078702478132,-0.316602,-0.061860465116279094,-0.4109,-0.0007500000000000003,0.19652160897486495,0.13274880339215014,0.11385699195285856
55.0,0.9586411657559198,0.5502557142857143,0.4489286020696001,0.37399999999999994,0.2166,0.2792,,-0.31,0.36309999999999965,0.11838749070042312,-0.3284046666666667,-0.07204651162790701,-0.4271,0.0027500000000000003,0.16804063512673098,0.13532343750922635,0.11385567286184585
