Era,Leg/Exp,Site,Hole,Latitude,Longitude,Water depth (m),Transition Depth,Green bands assoc. with transition,Red bands assoc. with transition,Green bands deeper than transiition,Red bands deeper than transiition,Unusable image,Bottomwater O2 (umol/L),Holocene-LGM CaCO3 (%),Organic Carbon (%),CaCO3 (%),Productivity (mgC/m2/day),Sedimentation Rate (cm/ka)
DSDP,18,178,*,56.9563,-147.131,4218,None,FALSE,FALSE,FALSE,FALSE,FALSE,99.5625,-1.166666667,0.4435952603816986,4.5475,1075.161376953125,2.421795368
DSDP,18,179,*,56.409,-145.9887,3781,None,FALSE,FALSE,FALSE,FALSE,FALSE,106.5,-1.166666667,0.3897909522056579,12.1475,1022.458984,2.674269914627075
DSDP,18,180,*,57.3627,-147.8562,4923,None,FALSE,FALSE,FALSE,FALSE,FALSE,94.5,-1.166666667,0.6966964602470398,2.2500000000000004,1302.1322021484375,2.4206650257110596
DSDP,18,181,*,57.4383,-148.4647,3086,None,FALSE,FALSE,FALSE,FALSE,FALSE,89.375,-1.166666667,0.9426255822181702,0.945,1358.8734130859375,2.2951738834381104
DSDP,18,182,*,57.8827,-148.7165,1419,None,FALSE,FALSE,FALSE,FALSE,FALSE,89.375,-1.166666667,1.1825273036956787,0.945,1358.8734130859375,2.837123155593872
DSDP,19,183,*,52.5717,-161.2055,4708,None,FALSE,FALSE,FALSE,FALSE,FALSE,160.25,-1.166666667,0.6597954630851746,0,796.4764404296875,1.0789287090301514
DSDP,19,184,*,53.7107,-170.9232,1910,None,FALSE,FALSE,FALSE,FALSE,FALSE,170.7142791748047,6,0.8425225615501404,,806.8051758,
DSDP,19,185,*,54.4288,-169.2432,2110,None,FALSE,FALSE,FALSE,FALSE,FALSE,176.36363220214844,6,0.8683515191078186,,1122.48877,
DSDP,19,186,*,51.1302,-174.0057,4522,None,FALSE,FALSE,FALSE,TRUE,FALSE,152.5,-1.166666667,0.9076240062713624,0.6799999999999999,790.4371337890625,1.0994776487350464
DSDP,19,188,*,53.7535,178.6593,2649,None,FALSE,FALSE,FALSE,FALSE,TRUE,90.26923370361328,6,0.8781741857528687,0,650.6862793,
DSDP,19,189,*,54.0357,170.223,3437,None,FALSE,FALSE,FALSE,FALSE,FALSE,147.5625,6,0.7263356447219849,0,825.130127,
DSDP,19,190,*,55.5592,171.6403,3875,Shallow (<40 cm),FALSE,FALSE,FALSE,FALSE,FALSE,137.6875,6,0.709130049,6.4825,759.5992431640625,
DSDP,19,192,*,53.0095,164.7135,3014,None,FALSE,FALSE,FALSE,FALSE,TRUE,167.25,6,1.120028018951416,65,849.4414672851562,
DSDP,20,200,*,12.8367,156.7827,1479,None,FALSE,FALSE,FALSE,FALSE,FALSE,180.375,-4.755417957,0.3504961431026459,1.155,109.10982513427734,0.1574666947126388
