Exp,Site,Hole,Core,Type,Section,Top Offset (cm),Bottom Offset (cm),Top Depth CSF-A (m),Bottom Depth CSF-A (m),Top Depth CCSF (m),Bottom Depth CCSF (m),Thickness (cm),Class
361,U1474,F,2,H,5,-0.7,3.5,9.193,9.235,8.843,8.885,4.2,3
361,U1474,F,2,H,5,4.6,6.2,9.246,9.262,8.896,8.912,1.6,3
361,U1474,F,2,H,5,40.7,41.5,9.607,9.615,9.257,9.265,0.8,3
361,U1474,F,2,H,5,41.6,41.8,9.616,9.618,9.266,9.268,0.2,3
361,U1474,F,2,H,5,72.5,73,9.925,9.93,9.575,9.58,0.5,1
361,U1474,F,2,H,5,74.6,74.8,9.946,9.948,9.596,9.598,0.2,1
361,U1474,F,2,H,5,74.9,76.3,9.949,9.963,9.599,9.613,1.4,2
361,U1474,F,2,H,5,79.6,80.3,9.996,10.003,9.646,9.653,0.7,1
361,U1474,F,2,H,5,80.5,82.5,10.005,10.025,9.655,9.675,2,1
361,U1474,F,2,H,5,88.7,89.7,10.087,10.097,9.737,9.747,1,2
361,U1474,F,2,H,5,89.8,90,10.098,10.1,9.748,9.75,0.2,1
361,U1474,F,2,H,5,95.9,97,10.159,10.17,9.809,9.82,1.1,2
361,U1474,F,2,H,5,97.6,98.2,10.176,10.182,9.826,9.832,0.6,2
361,U1474,F,2,H,5,98.5,99.2,10.185,10.192,9.835,9.842,0.7,1
361,U1474,F,2,H,5,107.6,107.9,10.276,10.279,9.926,9.929,0.3,1
361,U1474,F,2,H,5,116.2,117.5,10.362,10.375,10.012,10.025,1.3,2
361,U1474,F,2,H,5,120.2,121.1,10.402,10.411,10.052,10.061,0.9,2
361,U1474,F,2,H,6,15.2,16.4,10.852,10.864,10.502,10.514,1.2,3
361,U1474,F,2,H,6,19,20.1,10.89,10.901,10.54,10.551,1.1,3
361,U1474,F,2,H,6,22.6,23,10.926,10.93,10.576,10.58,0.4,2
361,U1474,F,2,H,6,40.9,42,11.109,11.12,10.759,10.77,1.1,3
361,U1474,F,2,H,6,43.9,45,11.139,11.15,10.789,10.8,1.1,3
361,U1474,F,2,H,6,45.1,45.5,11.151,11.155,10.801,10.805,0.4,3
361,U1474,F,2,H,6,46.7,47,11.167,11.17,10.817,10.82,0.3,1
361,U1474,F,2,H,6,70.2,70.8,11.402,11.408,11.052,11.058,0.6,1
361,U1474,D,3,H,2,20.2,25,13.202,13.25,12.258,12.306,4.8,2
361,U1474,D,3,H,2,65.2,65.8,13.652,13.658,12.708,12.714,0.6,2
361,U1474,D,3,H,2,71.1,71.4,13.711,13.714,12.767,12.77,0.3,2
361,U1474,D,3,H,2,71.5,71.8,13.715,13.718,12.771,12.774,0.3,2
361,U1474,D,3,H,2,77.3,78.6,13.773,13.786,12.829,12.842,1.3,2
361,U1474,D,3,H,2,82.6,83.7,13.826,13.837,12.882,12.893,1.1,1
361,U1474,D,3,H,3,2.5,3.8,14.525,14.538,13.581,13.594,1.3,2
361,U1474,D,3,H,3,3.9,4.3,14.539,14.543,13.595,13.599,0.4,2
361,U1474,D,3,H,3,17.1,17.4,14.671,14.674,13.727,13.73,0.3,1
361,U1474,D,3,H,3,17.8,18.9,14.678,14.689,13.734,13.745,1.1,2
361,U1474,D,3,H,3,36.3,36.9,14.863,14.869,13.919,13.925,0.6,2
361,U1474,D,3,H,3,42.1,42.3,14.921,14.923,13.977,13.979,0.2,2
361,U1474,D,3,H,3,51.7,52.3,15.017,15.023,14.073,14.079,0.6,2
361,U1474,D,3,H,3,134.8,135.6,15.848,15.856,14.904,14.912,0.8,3
361,U1474,A,3,H,4,2.1,2.5,19.421,19.425,17.724,17.728,0.4,2
361,U1474,A,3,H,5,52.4,52.7,21.424,21.427,19.727,19.73,0.3,2
361,U1474,A,3,H,5,120.1,120.5,22.101,22.105,20.404,20.408,0.4,2
361,U1474,D,4,H,1,104.4,105.6,21.044,21.056,21.592,21.604,1.2,3
361,U1474,D,4,H,1,107.5,108.4,21.075,21.084,21.623,21.632,0.9,3
361,U1474,D,4,H,2,103.7,104.5,22.537,22.545,23.085,23.093,0.8,3
361,U1474,D,4,H,2,104.6,105.1,22.546,22.551,23.094,23.099,0.5,2
361,U1474,D,4,H,2,109.6,110.1,22.596,22.601,23.144,23.149,0.5,2
361,U1474,D,4,H,2,113.5,116.3,22.635,22.663,23.183,23.211,2.8,3
361,U1474,D,4,H,2,137.2,138.7,22.872,22.887,23.42,23.435,1.5,2
361,U1474,D,4,H,2,144,145.5,22.94,22.955,23.488,23.503,1.5,2
361,U1474,D,4,H,3,8.2,9.5,23.082,23.095,23.63,23.643,1.3,1
361,U1474,D,4,H,3,14.1,14.5,23.141,23.145,23.689,23.693,0.4,2
361,U1474,D,4,H,3,17.5,18,23.175,23.18,23.723,23.728,0.5,2
361,U1474,D,4,H,3,18.1,18.7,23.181,23.187,23.729,23.735,0.6,1
361,U1474,D,4,H,3,24.6,25.6,23.246,23.256,23.794,23.804,1,1
361,U1474,D,4,H,3,25.6,27.4,23.256,23.274,23.804,23.822,1.8,1
361,U1474,D,4,H,3,30.1,31.2,23.301,23.312,23.849,23.86,1.1,1
361,U1474,D,4,H,3,35,35.7,23.35,23.357,23.898,23.905,0.7,1
361,U1474,D,4,H,3,38.2,39.6,23.382,23.396,23.93,23.944,1.4,1
361,U1474,F,4,H,4,10.7,12.2,26.807,26.822,27.111,27.126,1.5,2
361,U1474,F,4,H,4,12.3,12.8,26.823,26.828,27.127,27.132,0.5,1
361,U1474,F,4,H,4,12.9,14.8,26.829,26.848,27.133,27.152,1.9,2
361,U1474,F,4,H,4,15,16,26.85,26.86,27.154,27.164,1,2
361,U1474,F,4,H,4,27,28.6,26.97,26.986,27.274,27.29,1.6,1
361,U1474,F,4,H,4,28.7,30.1,26.987,27.001,27.291,27.305,1.4,1
361,U1474,F,4,H,4,37.5,39.5,27.075,27.095,27.379,27.399,2,1
361,U1474,F,4,H,4,47.9,48.4,27.179,27.184,27.483,27.488,0.5,1
361,U1474,F,4,H,4,50.4,51.9,27.204,27.219,27.508,27.523,1.5,2
361,U1474,F,4,H,4,66.5,67.7,27.365,27.377,27.669,27.681,1.2,2
361,U1474,F,4,H,4,93.5,94.6,27.635,27.646,27.939,27.95,1.1,2
361,U1474,F,4,H,4,102.9,104.5,27.729,27.745,28.033,28.049,1.6,3
361,U1474,F,4,H,4,115.4,117.5,27.854,27.875,28.158,28.179,2.1,3
361,U1474,F,4,H,4,117.9,119,27.879,27.89,28.183,28.194,1.1,3
361,U1474,F,4,H,4,119.1,119.3,27.891,27.893,28.195,28.197,0.2,1
361,U1474,F,4,H,4,119.4,120.2,27.894,27.902,28.198,28.206,0.8,1
361,U1474,F,4,H,4,120.3,120.6,27.903,27.906,28.207,28.21,0.3,1
361,U1474,F,4,H,4,127.6,128.9,27.976,27.989,28.28,28.293,1.3,1
361,U1474,F,4,H,4,129.6,129.9,27.996,27.999,28.3,28.303,0.3,1
361,U1474,F,4,H,4,129.9,130.3,27.999,28.003,28.303,28.307,0.4,1
361,U1474,F,4,H,4,130.4,131.3,28.004,28.013,28.308,28.317,0.9,1
361,U1474,F,4,H,5,2.3,2.5,28.223,28.225,28.527,28.529,0.2,2
361,U1474,F,4,H,5,72.2,73.2,28.922,28.932,29.226,29.236,1,2
361,U1474,F,4,H,5,73.6,74.6,28.936,28.946,29.24,29.25,1,1
361,U1474,F,4,H,5,74.7,75.6,28.947,28.956,29.251,29.26,0.9,1
361,U1474,F,4,H,5,75.7,76.1,28.957,28.961,29.261,29.265,0.4,2
361,U1474,F,4,H,5,101.5,104.8,29.215,29.248,29.545,29.552,3.3,1
361,U1474,F,4,H,5,116.4,118.2,29.364,29.382,29.668,29.686,1.8,1
361,U1474,F,4,H,6,7.1,9.3,29.771,29.793,30.075,30.097,2.2,1
361,U1474,F,4,H,6,14,16.6,29.84,29.866,30.144,30.17,2.6,2
361,U1474,A,4,H,4,131.2,133.5,30.212,30.235,30.808,30.831,2.3,3
361,U1474,A,4,H,4,134.7,135.3,30.247,30.253,30.843,30.849,0.6,1
361,U1474,A,4,H,4,135.4,137.3,30.254,30.273,30.85,30.869,1.9,1
361,U1474,A,4,H,4,137.4,138.4,30.274,30.284,30.87,30.88,1,2
361,U1474,A,4,H,4,138.8,139.9,30.288,30.299,30.884,30.895,1.1,1
361,U1474,A,4,H,4,140.6,142.3,30.306,30.323,30.902,30.919,1.7,2
361,U1474,A,4,H,5,3.9,4.6,30.439,30.446,31.035,31.042,0.7,1
361,U1474,A,4,H,5,24,25.5,30.64,30.655,31.236,31.251,1.5,3
361,U1474,A,4,H,5,36.8,37.6,30.768,30.776,31.364,31.372,0.8,1
361,U1474,A,4,H,5,41.7,42.8,30.817,30.828,31.413,31.424,1.1,1
361,U1474,A,4,H,5,55.5,56.7,30.955,30.967,31.551,31.563,1.2,1
361,U1474,A,4,H,5,135.5,136.6,31.755,31.766,32.351,32.362,1.1,2
361,U1474,A,4,H,5,137,137.3,31.77,31.773,32.366,32.369,0.3,2
361,U1474,A,4,H,5,137.4,138.6,31.774,31.786,32.37,32.382,1.2,2
361,U1474,A,4,H,5,138.7,139,31.787,31.79,32.383,32.386,0.3,2
361,U1474,A,4,H,6,1.7,3.2,31.917,31.932,32.513,32.528,1.5,3
361,U1474,A,4,H,6,4.7,5.7,31.947,31.957,32.543,32.553,1,2
361,U1474,A,4,H,6,20.1,21,32.101,32.11,32.697,32.706,0.9,2
361,U1474,A,4,H,6,24,24.6,32.14,32.146,32.736,32.742,0.6,1
361,U1474,A,4,H,6,41.4,41.9,32.314,32.319,32.91,32.915,0.5,1
361,U1474,A,4,H,6,44.8,46,32.348,32.36,32.944,32.956,1.2,1
361,U1474,A,4,H,6,51.5,52.1,32.415,32.421,33.011,33.017,0.6,1
361,U1474,A,4,H,6,54.1,55,32.441,32.45,33.037,33.046,0.9,2
361,U1474,A,4,H,6,63.7,64.8,32.537,32.548,33.133,33.144,1.1,1
361,U1474,A,4,H,6,70.8,71.4,32.608,32.614,33.204,33.21,0.6,1
361,U1474,F,5,H,1,111.6,113,32.816,32.83,33.98,33.994,1.4,2
361,U1474,F,5,H,2,71.8,73.2,33.918,33.932,35.082,35.096,1.4,2
361,U1474,F,5,H,2,78.7,79,33.987,33.99,35.151,35.154,0.3,3
361,U1474,F,5,H,2,79.1,80.1,33.991,34.001,35.155,35.165,1,2
361,U1474,F,5,H,2,82.9,84.4,34.029,34.044,35.193,35.208,1.5,1
361,U1474,F,5,H,2,84.5,85.3,34.045,34.053,35.209,35.217,0.8,2
361,U1474,F,5,H,2,85.8,88.9,34.058,34.089,35.222,35.253,3.1,3
361,U1474,F,5,H,2,89.1,89.6,34.091,34.096,35.255,35.26,0.5,1
361,U1474,F,5,H,2,93.5,94.5,34.135,34.145,35.299,35.309,1,2
361,U1474,F,5,H,2,98.4,99.1,34.184,34.191,35.348,35.355,0.7,1
361,U1474,F,5,H,2,101.8,102.9,34.218,34.229,35.382,35.393,1.1,1
361,U1474,F,5,H,2,124.9,125.2,34.449,34.452,35.613,35.616,0.3,2
361,U1474,F,5,H,2,125.3,127.1,34.453,34.471,35.617,35.635,1.8,2
361,U1474,F,5,H,3,-1.4,0.6,34.686,34.706,37.349,37.369,2,2
361,U1474,F,5,H,3,15.8,17.1,34.858,34.871,36.022,36.035,1.3,3
361,U1474,F,5,H,3,22.6,25,34.926,34.95,36.09,36.114,2.4,2
361,U1474,F,5,H,3,31.6,32.8,35.016,35.028,36.18,36.192,1.2,1
361,U1474,F,5,H,3,63.5,65.8,35.335,35.358,36.499,36.522,2.3,1
361,U1474,F,5,H,3,85.4,85.9,35.554,35.559,36.718,36.723,0.5,1
361,U1474,F,5,H,3,86,87.2,35.56,35.572,36.724,36.736,1.2,2
361,U1474,F,5,H,3,90.3,92.7,35.603,35.627,36.767,36.791,2.4,3
361,U1474,F,5,H,3,92.8,94.2,35.628,35.642,36.792,36.806,1.4,2
361,U1474,F,5,H,3,95.3,97.5,35.653,35.675,36.817,36.839,2.2,2
361,U1474,F,5,H,3,99.1,99.5,35.691,35.695,36.855,36.859,0.4,2
361,U1474,F,5,H,3,99.6,101.2,35.696,35.712,36.86,36.876,1.6,2
361,U1474,F,5,H,3,103.3,105,35.733,35.75,36.897,36.914,1.7,1
361,U1474,F,5,H,3,109.3,110.4,35.793,35.804,36.957,36.968,1.1,1
361,U1474,F,5,H,3,110.7,110.9,35.807,35.809,36.971,36.973,0.2,1
361,U1474,F,5,H,3,111,111.3,35.81,35.813,36.974,36.977,0.3,1
361,U1474,F,5,H,3,111.4,112.6,35.814,35.826,36.978,36.99,1.2,1
361,U1474,F,5,H,3,116.4,116.9,35.864,35.869,37.028,37.033,0.5,1
361,U1474,F,5,H,3,117,117.9,35.87,35.879,37.034,37.043,0.9,1
361,U1474,F,5,H,3,118.9,120.4,35.889,35.904,37.053,37.068,1.5,1
361,U1474,F,5,H,3,123,123.2,35.93,35.932,37.094,37.096,0.2,1
361,U1474,F,5,H,3,123.9,125.3,35.939,35.953,37.103,37.117,1.4,1
361,U1474,F,5,H,3,127.8,129.7,35.978,35.997,37.142,37.161,1.9,2
361,U1474,F,5,H,3,130.3,132.2,36.003,36.022,37.167,37.186,1.9,1
361,U1474,F,5,H,3,133.1,134,36.031,36.04,37.195,37.204,0.9,1
361,U1474,F,5,H,3,134.1,135.7,36.041,36.057,37.205,37.221,1.6,1
361,U1474,F,5,H,3,137.3,138.1,36.073,36.081,37.237,37.245,0.8,1
361,U1474,F,5,H,3,138.1,140,36.081,36.1,37.245,37.264,1.9,1
361,U1474,F,5,H,3,147.2,148.4,36.172,36.184,37.336,37.348,1.2,1
361,U1474,F,5,H,4,0.6,1,36.206,36.21,37.37,37.374,0.4,2
361,U1474,F,5,H,4,27.5,28.4,36.475,36.484,37.639,37.648,0.9,1
361,U1474,F,5,H,4,89.2,90.2,37.092,37.102,38.256,38.266,1,3
361,U1474,F,5,H,4,107.1,108.2,37.271,37.282,38.435,38.446,1.1,1
361,U1474,F,5,H,4,108.2,108.6,37.282,37.286,38.446,38.45,0.4,1
361,U1474,F,5,H,4,108.7,110.5,37.287,37.305,38.451,38.469,1.8,2
361,U1474,F,5,H,5,16.4,18.7,37.864,37.887,39.028,39.051,2.3,2
361,U1474,F,5,H,5,29.1,30,37.991,38,39.155,39.164,0.9,1
361,U1474,F,5,H,5,30.1,30.5,38.001,38.005,39.165,39.169,0.4,1
361,U1474,F,5,H,5,30.6,31.7,38.006,38.017,39.17,39.181,1.1,2
361,U1474,F,5,H,5,36.6,37.7,38.066,38.077,39.23,39.241,1.1,1
361,U1474,F,5,H,5,42.3,43.1,38.123,38.131,39.287,39.295,0.8,1
361,U1474,F,5,H,5,44.7,45.5,38.147,38.155,39.311,39.319,0.8,2
361,U1474,F,5,H,5,46.8,47.2,38.168,38.172,39.332,39.336,0.4,1
361,U1474,F,5,H,5,48.4,49.6,38.184,38.196,39.348,39.36,1.2,2
361,U1474,F,5,H,5,54.1,55.2,38.241,38.252,39.405,39.416,1.1,1
361,U1474,F,5,H,5,55.4,55.8,38.254,38.258,39.418,39.422,0.4,1
361,U1474,F,5,H,5,60.3,61.8,38.303,38.318,39.467,39.482,1.5,1
361,U1474,F,5,H,6,18.8,20,39.388,39.4,40.552,40.564,1.2,1
361,U1474,F,5,H,6,21.6,22.5,39.416,39.425,40.58,40.589,0.9,1
361,U1474,F,5,H,6,27.9,28.4,39.479,39.484,40.643,40.648,0.5,1
361,U1474,F,5,H,6,28.5,28.7,39.485,39.487,40.649,40.651,0.2,1
361,U1474,F,5,H,6,38.3,39.4,39.583,39.594,40.747,40.758,1.1,2
361,U1474,F,5,H,6,112.6,113.1,40.326,40.331,41.49,41.495,0.5,2
361,U1474,F,5,H,6,113.2,114.2,40.332,40.342,41.496,41.506,1,2
361,U1474,D,6,H,2,67.1,69.7,41.171,41.197,42.67,42.696,2.6,2
361,U1474,D,6,H,2,70,72.3,41.2,41.223,42.699,42.722,2.3,1
361,U1474,D,6,H,2,76.3,77.6,41.263,41.276,42.762,42.775,1.3,1
361,U1474,D,6,H,2,81.3,82.3,41.313,41.323,42.812,42.822,1,1
361,U1474,D,6,H,2,85.1,86.3,41.351,41.363,42.85,42.862,1.2,2
361,U1474,D,6,H,2,88.1,89.5,41.381,41.395,42.88,42.894,1.4,1
361,U1474,D,6,H,2,98.3,99,41.483,41.49,42.982,42.989,0.7,1
361,U1474,D,6,H,2,105.1,106.8,41.551,41.568,43.05,43.067,1.7,1
361,U1474,D,6,H,2,126.9,130.3,41.769,41.803,43.268,43.302,3.4,1
361,U1474,D,6,H,3,140.6,146.8,43.406,43.468,44.913,44.938,6.2,3
361,U1474,D,6,H,4,65.4,66.7,44.154,44.167,45.653,45.666,1.3,1
361,U1474,D,6,H,4,66.8,68.1,44.168,44.181,45.667,45.68,1.3,2
361,U1474,D,6,H,4,72.7,75,44.227,44.25,45.73,45.738,2.3,2
361,U1474,D,6,H,4,75.6,77.7,44.256,44.277,45.755,45.776,2.1,2
361,U1474,D,6,H,4,84.1,85.9,44.341,44.359,45.84,45.858,1.8,1
361,U1474,D,6,H,4,137.4,140,44.874,44.9,46.373,46.399,2.6,2
361,U1474,D,6,H,4,140.4,141.7,44.904,44.917,46.403,46.416,1.3,1
361,U1474,D,6,H,5,22.1,25.6,45.221,45.256,46.72,46.755,3.5,2
361,U1474,D,6,H,5,30,30.7,45.3,45.307,46.799,46.806,0.7,1
361,U1474,D,6,H,5,30.8,31.6,45.308,45.316,46.807,46.815,0.8,1
361,U1474,D,6,H,5,31.7,32.3,45.317,45.323,46.816,46.822,0.6,1
361,U1474,D,6,H,5,86.2,89.2,45.862,45.892,47.361,47.391,3,2
361,U1474,D,6,H,6,4.2,6.3,46.542,46.563,48.041,48.062,2.1,2
361,U1474,D,6,H,6,88.7,91.6,47.387,47.416,48.886,48.915,2.9,2
361,U1474,A,6,H,3,44.3,45.1,46.843,46.851,49.226,49.234,0.8,1
361,U1474,A,6,H,3,50.1,50.7,46.901,46.907,49.284,49.29,0.6,1
361,U1474,A,6,H,3,54.8,55.6,46.948,46.956,49.331,49.339,0.8,1
361,U1474,A,6,H,3,80.5,81.2,47.205,47.212,49.588,49.595,0.7,2
361,U1474,A,6,H,3,96.8,97.2,47.368,47.372,49.751,49.755,0.4,1
361,U1474,A,6,H,3,134,134.6,47.74,47.746,50.123,50.129,0.6,1
