Exp,Site,Hole,Core,Type,Section,A/W,Top offset (cm),Bottom offset (cm),Top depth CCSF (m),Bottom depth CCSF (m),d18O stack species,benthic d18O,cib d13C,uvi d13C
361,U1474,F,2,H,5,W,136.0,137.0,10.209999999999999,10.219999999999999,uvi & cib,3.982,0.369,-0.266
361,U1474,F,2,H,5,W,148.0,149.0,10.33,10.34,uvi & cib,4.0025,-0.112,-0.735
361,U1474,F,2,H,6,W,10.0,11.0,10.45,10.459999999999999,uvi & cib,4.2995,-0.194,-0.563
361,U1474,F,2,H,6,W,23.0,24.0,10.58,10.59,uvi & cib,4.4345,-0.353,-0.685
361,U1474,F,2,H,6,W,35.0,36.0,10.7,10.709999999999999,uvi,4.553,,-0.879
361,U1474,F,2,H,6,W,47.0,48.0,10.82,10.83,uvi & cib,4.519,0.125,-0.42
361,U1474,F,2,H,6,W,59.0,60.0,10.94,10.95,uvi & cib,4.3825,-0.105,-0.757
361,U1474,F,2,H,6,W,72.0,73.0,11.07,11.08,uvi & cib,4.2165,-0.156,-0.039
361,U1474,F,2,H,6,W,84.0,85.0,11.19,11.2,uvi,3.927,,-0.634
361,U1474,F,2,H,6,W,96.0,97.0,11.309999999999999,11.32,uvi & cib,3.96,0.19,-0.298
361,U1474,F,2,H,6,W,108.0,109.0,11.43,11.44,uvi & cib,3.747,0.103,-0.389
361,U1474,D,3,H,1,W,125.0,126.0,11.806,11.815999999999999,uvi & cib,3.6265,0.474,-0.332
361,U1474,D,3,H,1,W,137.0,138.0,11.925999999999998,11.936,cib,3.395,-0.241,
361,U1474,D,3,H,2,W,24.0,25.0,12.296,12.306,uvi & cib,4.2395,-0.132,-0.895
361,U1474,D,3,H,2,W,61.0,62.0,12.665999999999999,12.675999999999998,uvi & cib,5.008,-0.734,-1.227
361,U1474,D,3,H,2,W,73.0,74.0,12.786,12.796,uvi & cib,5.004,-0.278,-1.037
361,U1474,D,3,H,2,W,85.0,86.0,12.905999999999999,12.915999999999999,uvi & cib,5.140000000000001,-0.428,-0.819
361,U1474,D,3,H,2,W,97.0,98.0,13.026,13.036,uvi & cib,5.054,-0.778,-0.862
361,U1474,D,3,H,2,W,110.0,111.0,13.155999999999999,13.165999999999999,uvi & cib,4.7780000000000005,-0.152,-0.93
361,U1474,D,3,H,2,W,134.0,135.0,13.395999999999999,13.405999999999999,uvi & cib,4.6935,-0.386,-1.03
361,U1474,D,3,H,3,W,9.0,10.0,13.645999999999999,13.655999999999999,uvi & cib,4.7035,-0.562,-1.07
361,U1474,D,3,H,3,W,21.0,22.0,13.766,13.776,cib,4.7589999999999995,-0.402,
361,U1474,D,3,H,3,W,33.0,34.0,13.886,13.895999999999999,uvi & cib,4.647,-0.437,-0.92
361,U1474,D,3,H,3,W,45.0,46.0,14.005999999999998,14.016,uvi & cib,4.547,0.123,-0.776
361,U1474,D,3,H,3,W,58.0,59.0,14.136,14.145999999999999,uvi & cib,4.494,-0.565,-1.025
361,U1474,D,3,H,3,W,70.0,71.0,14.255999999999998,14.265999999999998,uvi & cib,4.461,-0.247,-0.536
361,U1474,D,3,H,3,W,82.0,83.0,14.376,14.386,uvi & cib,4.5335,-0.232,-0.832
361,U1474,D,3,H,3,W,94.0,95.0,14.495999999999999,14.505999999999998,cib,4.393,-0.168,
361,U1474,D,3,H,3,W,107.0,108.0,14.626,14.636,uvi & cib,4.427,0.058,-0.581
361,U1474,D,3,H,3,W,119.0,120.0,14.745999999999999,14.755999999999998,uvi & cib,4.286,-0.149,-0.62
361,U1474,D,3,H,3,W,131.0,132.0,14.866,14.876,uvi & cib,4.4495000000000005,-0.163,-0.803
361,U1474,D,3,H,3,W,143.0,144.0,14.985999999999999,14.995999999999999,uvi & cib,4.435,-0.045,-0.627
361,U1474,D,3,H,4,W,6.0,7.0,15.116,15.126,uvi & cib,4.2565,0.259,-0.182
361,U1474,D,3,H,4,W,18.0,19.0,15.235999999999999,15.245999999999999,uvi & cib,4.151,-0.009,-0.307
361,U1474,D,3,H,4,W,30.0,31.0,15.356,15.366,uvi & cib,4.0355,0.302,-0.38
361,U1474,D,3,H,4,W,42.0,43.0,15.475999999999999,15.485999999999999,uvi & cib,4.0295000000000005,0.176,-0.401
361,U1474,D,3,H,4,W,54.0,55.0,15.596,15.606,uvi & cib,4.103,-0.112,-0.649
361,U1474,D,3,H,4,W,67.0,68.0,15.725999999999999,15.735999999999999,uvi & cib,3.862,0.255,-0.224
361,U1474,D,3,H,4,W,79.0,80.0,15.846,15.856,uvi & cib,3.4880000000000004,0.688,0.227
361,U1474,D,3,H,4,W,91.0,92.0,15.966,15.975999999999999,uvi & cib,3.263,0.778,0.196
361,U1474,D,3,H,4,W,103.0,104.0,16.086,16.096,cib,3.2840000000000003,0.815,
361,U1474,D,3,H,4,W,116.0,117.0,16.215999999999998,16.226,cib,3.2310000000000003,0.758,
361,U1474,D,3,H,4,W,128.0,129.0,16.336,16.346,cib,3.2150000000000003,0.663,
361,U1474,D,3,H,4,W,140.0,141.0,16.456,16.465999999999998,cib,3.339,0.456,
361,U1474,D,3,H,5,W,2.0,3.0,16.576,16.586000000000002,cib,3.3520000000000003,0.497,
361,U1474,D,3,H,5,W,15.0,16.0,16.706,16.716,cib,3.557,0.678,
361,U1474,D,3,H,5,W,27.0,28.0,16.826,16.836000000000002,cib,3.717,0.398,
361,U1474,D,3,H,5,W,39.0,40.0,16.946,16.956,cib,3.758,0.136,
361,U1474,D,3,H,5,W,51.0,52.0,17.066000000000003,17.076,cib,4.146,0.036,
361,U1474,D,3,H,5,W,64.0,65.0,17.196,17.206,uvi & cib,5.0165,-0.165,-1.17
361,U1474,A,3,H,3,W,123.0,124.0,17.433,17.442999999999998,uvi & cib,5.2155,-0.502,-0.973
361,U1474,A,3,H,3,W,135.0,136.0,17.553,17.563,uvi,5.158,,-1.081
361,U1474,A,3,H,4,W,47.0,48.0,18.173,18.183,uvi & cib,4.9125,-0.361,-1.286
361,U1474,A,3,H,4,W,59.0,60.0,18.293,18.303,uvi & cib,4.8115,-0.13,-0.922
361,U1474,A,3,H,4,W,83.0,84.0,18.532999999999998,18.543,uvi & cib,4.0969999999999995,-0.302,-0.836
361,U1474,A,3,H,4,W,95.0,96.0,18.653,18.663,uvi & cib,4.727,-0.218,-1.064
361,U1474,A,3,H,4,W,108.0,109.0,18.783,18.793,uvi & cib,4.6975,-0.23,-1.261
361,U1474,A,3,H,4,W,132.0,133.0,19.023,19.033,uvi & cib,4.84,-0.455,-1.033
361,U1474,A,3,H,4,W,144.0,145.0,19.143,19.153,uvi & cib,4.773,-0.19,-0.846
361,U1474,A,3,H,5,W,7.0,8.0,19.273,19.282999999999998,uvi & cib,4.577999999999999,-0.145,-0.967
361,U1474,A,3,H,5,W,19.0,20.0,19.393,19.403,uvi & cib,4.5065,-0.578,-1.024
361,U1474,A,3,H,5,W,31.0,32.0,19.512999999999998,19.523,uvi & cib,4.637499999999999,-0.655,-0.995
361,U1474,A,3,H,5,W,43.0,44.0,19.633,19.643,uvi & cib,4.6795,-0.249,-1.154
361,U1474,A,3,H,5,W,68.0,69.0,19.883,19.893,uvi & cib,4.5495,-0.208,-0.802
361,U1474,A,3,H,5,W,80.0,81.0,20.003,20.012999999999998,uvi & cib,4.5184999999999995,-0.39,-0.842
361,U1474,A,3,H,5,W,92.0,93.0,20.123,20.133,uvi & cib,4.5495,-0.156,-1.146
361,U1474,A,3,H,5,W,105.0,106.0,20.253,20.262999999999998,uvi & cib,4.4505,0.127,-0.643
361,U1474,A,3,H,5,W,117.0,118.0,20.372999999999998,20.383,uvi & cib,4.471500000000001,0.092,-0.638
361,U1474,A,3,H,5,W,129.0,130.0,20.493,20.503,uvi & cib,4.161,0.401,-0.274
361,U1474,A,3,H,5,W,141.0,142.0,20.613,20.622999999999998,uvi,3.98,,-0.226
361,U1474,A,3,H,6,W,4.0,5.0,20.743,20.753,uvi & cib,4.1545000000000005,0.708,-0.198
361,U1474,A,3,H,6,W,16.0,17.0,20.863,20.873,uvi & cib,3.8805,0.243,-0.265
361,U1474,A,3,H,6,W,28.0,29.0,20.983,20.993,uvi & cib,3.903,0.467,-0.221
361,U1474,A,3,H,6,W,40.0,41.0,21.102999999999998,21.113,uvi & cib,3.7875,0.806,-0.096
361,U1474,D,4,H,1,W,69.0,70.0,21.238,21.247999999999998,uvi & cib,3.688,0.569,-0.184
361,U1474,D,4,H,1,W,81.0,82.0,21.357999999999997,21.368,uvi & cib,3.636,0.938,-0.068
361,U1474,D,4,H,1,W,93.0,94.0,21.477999999999998,21.488,uvi & cib,3.7535,0.814,0.011
361,U1474,D,4,H,1,W,105.0,106.0,21.598,21.607999999999997,uvi & cib,3.8665000000000003,0.697,0.025
361,U1474,D,4,H,1,W,117.0,118.0,21.717999999999996,21.727999999999998,uvi,3.744,,-0.109
361,U1474,D,4,H,1,W,130.0,131.0,21.848,21.857999999999997,uvi & cib,3.865,0.915,0.133
361,U1474,D,4,H,1,W,142.0,143.0,21.967999999999996,21.977999999999998,uvi & cib,3.9105,0.657,0.006
361,U1474,D,4,H,2,W,4.0,5.0,22.087999999999997,22.098,uvi & cib,3.9675000000000002,0.544,-0.139
361,U1474,D,4,H,2,W,16.0,17.0,22.208,22.218,uvi & cib,4.009,0.447,-0.229
361,U1474,D,4,H,2,W,29.0,30.0,22.337999999999997,22.348,uvi & cib,4.241,0.266,0.342
361,U1474,D,4,H,2,W,41.0,42.0,22.458,22.468,uvi & cib,4.1945,0.764,-0.256
361,U1474,D,4,H,2,W,53.0,54.0,22.578,22.587999999999997,uvi & cib,4.1605,0.379,-0.292
361,U1474,D,4,H,2,W,65.0,66.0,22.697999999999997,22.708,uvi & cib,3.931,0.594,-0.202
361,U1474,D,4,H,2,W,78.0,79.0,22.828,22.837999999999997,uvi & cib,4.1175,0.273,-0.319
361,U1474,D,4,H,2,W,90.0,91.0,22.947999999999997,22.958,uvi & cib,4.058,0.414,-0.623
361,U1474,D,4,H,2,W,102.0,103.0,23.067999999999998,23.078,cib,4.646999999999999,-0.138,
361,U1474,D,4,H,2,W,114.0,115.0,23.188,23.197999999999997,uvi & cib,4.734999999999999,-0.027,-0.649
361,U1474,D,4,H,2,W,127.0,128.0,23.317999999999998,23.328,uvi & cib,4.6905,0.147,-0.925
361,U1474,D,4,H,2,W,139.0,140.0,23.438,23.447999999999997,cib,4.61,0.08,
361,U1474,D,4,H,3,W,1.0,2.0,23.558,23.567999999999998,uvi & cib,4.696,0.427,
361,U1474,D,4,H,3,W,26.0,27.0,23.808,23.817999999999998,cib,4.68,0.12,
361,U1474,D,4,H,3,W,38.0,39.0,23.927999999999997,23.938,cib,,,
361,U1474,D,4,H,3,W,50.0,51.0,24.048,24.058,cib,4.2,0.03,
361,U1474,D,4,H,3,W,62.0,63.0,24.168,24.177999999999997,cib,4.4399999999999995,0.13,
361,U1474,D,4,H,3,W,87.0,88.0,24.418,24.427999999999997,cib,,,
361,U1474,D,4,H,3,W,99.0,100.0,24.537999999999997,24.548,cib,4.08,0.01,
361,U1474,D,4,H,3,W,111.0,112.0,24.657999999999998,24.668,uvi & cib,3.5795,0.75,-0.149
361,U1474,D,4,H,3,W,123.0,124.0,24.778,24.787999999999997,uvi & cib,3.9005,0.9285,
361,U1474,D,4,H,3,W,136.0,137.0,24.907999999999998,24.918,uvi & cib,3.6,0.69,
361,U1474,D,4,H,3,W,148.0,149.0,25.028,25.037999999999997,uvi & cib,3.5975,0.8805000000000001,
361,U1474,D,4,H,4,W,10.0,11.0,25.148,25.157999999999998,cib,3.47,0.16,
361,U1474,D,4,H,4,W,22.0,23.0,25.267999999999997,25.278,cib,3.98,0.08,
361,U1474,D,4,H,4,W,35.0,36.0,25.398,25.407999999999998,uvi & cib,4.187,0.2565,
361,U1474,D,4,H,4,W,47.0,48.0,25.517999999999997,25.528,cib,4.4399999999999995,-0.16,
361,U1474,D,4,H,4,W,59.0,60.0,25.637999999999998,25.648,cib,3.69,0.48,
361,U1474,D,4,H,4,W,71.0,72.0,25.758,25.767999999999997,cib,4.32,0.47,
361,U1474,D,4,H,4,W,84.0,85.0,25.887999999999998,25.898,uvi & cib,4.1015,0.19,-0.471
361,U1474,F,4,H,3,W,50.0,51.0,26.004,26.014000000000003,cib,4.25,0.59,
361,U1474,F,4,H,3,W,62.0,63.0,26.124000000000002,26.134,cib,4.07,0.38,
361,U1474,F,4,H,3,W,74.0,75.0,26.244,26.254,cib,3.91,0.32,
361,U1474,F,4,H,3,W,87.0,88.0,26.374000000000002,26.384,cib,4.17,0.38,
361,U1474,F,4,H,3,W,99.0,100.0,26.494,26.504,cib,3.64,0.63,
361,U1474,F,4,H,3,W,111.0,112.0,26.614,26.624000000000002,uvi & cib,3.9350000000000005,0.6559999999999999,
361,U1474,F,4,H,3,W,123.0,124.0,26.734,26.744,cib,3.54,0.67,
361,U1474,F,4,H,3,W,136.0,137.0,26.864,26.874000000000002,cib,4.34,-0.06,
361,U1474,F,4,H,3,W,148.0,149.0,26.984,26.994,cib,5.18,0.0,
361,U1474,F,4,H,4,W,10.0,11.0,27.104000000000003,27.114,cib,5.0,0.09,
361,U1474,F,4,H,4,W,22.0,23.0,27.224,27.234,cib,5.13,-0.08,
361,U1474,F,4,H,4,W,35.0,36.0,27.354000000000003,27.364,cib,4.93,-0.12,
361,U1474,F,4,H,4,W,47.0,48.0,27.474,27.484,cib,4.47,-0.64,
361,U1474,F,4,H,4,W,59.0,60.0,27.594,27.604000000000003,cib,4.67,-0.01,
361,U1474,F,4,H,4,W,71.0,72.0,27.714000000000002,27.724,cib,4.67,-0.26,
361,U1474,F,4,H,4,W,83.0,84.0,27.834,27.844,cib,4.779999999999999,-0.36,
361,U1474,F,4,H,4,W,96.0,97.0,27.964000000000002,27.974,cib,4.699999999999999,-0.41,
361,U1474,F,4,H,4,W,108.0,109.0,28.084000000000003,28.094,cib,4.52,-0.59,
361,U1474,F,4,H,4,W,120.0,121.0,28.204,28.214000000000002,cib,4.1,-0.14,
361,U1474,F,4,H,4,W,132.0,133.0,28.324,28.334000000000003,cib,4.54,-0.34,
361,U1474,F,4,H,4,W,145.0,146.0,28.454,28.464000000000002,cib,4.6499999999999995,-0.53,
361,U1474,F,4,H,5,W,7.0,8.0,28.574,28.584,cib,4.45,-0.12,
361,U1474,F,4,H,5,W,19.0,20.0,28.694000000000003,28.704,cib,4.52,-0.1,
361,U1474,F,4,H,5,W,31.0,32.0,28.814,28.824,cib,4.3,-0.22,
361,U1474,F,4,H,5,W,44.0,45.0,28.944000000000003,28.954,cib,4.28,0.17,
361,U1474,F,4,H,5,W,56.0,57.0,29.064,29.074,cib,4.2299999999999995,0.31,
361,U1474,F,4,H,5,W,68.0,69.0,29.184,29.194000000000003,cib,3.75,0.44,
361,U1474,F,4,H,5,W,80.0,81.0,29.304000000000002,29.314,cib,3.79,0.48,
361,U1474,F,4,H,5,W,93.0,94.0,29.434,29.444000000000003,cib,3.69,0.69,
361,U1474,F,4,H,5,W,105.0,106.0,29.554000000000002,29.564,cib,4.13,0.14,
361,U1474,F,4,H,5,W,117.0,118.0,29.674,29.684,cib,3.91,0.44,
361,U1474,F,4,H,5,W,129.0,130.0,29.794,29.804000000000002,cib,4.36,-0.19,
361,U1474,F,4,H,5,W,142.0,143.0,29.924,29.934,cib,4.61,-0.38,
361,U1474,F,4,H,6,W,4.0,5.0,30.044,30.054000000000002,cib,4.62,-0.17,
361,U1474,F,4,H,6,W,16.0,17.0,30.164,30.174000000000003,cib,4.54,0.16,
361,U1474,F,4,H,6,W,28.0,29.0,30.284000000000002,30.294,cib,4.45,0.27,
361,U1474,F,4,H,6,W,41.0,42.0,30.414,30.424000000000003,cib,4.2299999999999995,0.31,
361,U1474,F,4,H,6,W,53.0,54.0,30.534000000000002,30.544,cib,4.2299999999999995,0.16,
361,U1474,F,4,H,6,W,65.0,66.0,30.654,30.664,cib,4.36,-0.04,
361,U1474,A,4,H,5,W,15.0,16.0,31.145999999999997,31.156,cib,4.63,-0.31,
361,U1474,A,4,H,5,W,88.0,89.0,31.875999999999998,31.886,uvi & cib,4.0473333333333334,0.255,-0.403
361,U1474,A,4,H,5,W,101.0,102.0,32.006,32.016,uvi & cib,3.7475,,-0.2675
361,U1474,A,4,H,5,W,113.0,114.0,32.126,32.135999999999996,cib,3.5500000000000003,0.312,
361,U1474,A,4,H,5,W,125.0,126.0,32.245999999999995,32.256,uvi & cib,3.9963333333333337,-0.067,-0.855
361,U1474,A,4,H,5,W,137.0,138.0,32.366,32.376,uvi & cib,4.523666666666666,-0.05250000000000002,-1.053
361,U1474,A,4,H,5,W,150.0,151.0,32.495999999999995,32.506,uvi & cib,4.751666666666666,-0.49,-1.5179999999999998
361,U1474,A,4,H,6,W,12.0,13.0,32.616,32.626000000000005,uvi & cib,4.85975,-0.33799999999999997,-1.352
361,U1474,A,4,H,6,W,24.0,25.0,32.736000000000004,32.746,uvi & cib,4.8036666666666665,-0.435,-1.228
361,U1474,A,4,H,6,W,36.0,37.0,32.856,32.866,uvi & cib,4.77225,-0.36150000000000004,-1.194
361,U1474,A,4,H,6,W,49.0,50.0,32.986000000000004,32.996,uvi & cib,4.66775,-0.1965,-1.1085
361,U1474,A,4,H,6,W,61.0,62.0,33.106,33.116,uvi & cib,4.5840000000000005,-0.209,-1.079
361,U1474,A,4,H,6,W,73.0,74.0,33.226,33.236000000000004,uvi & cib,4.5329999999999995,-0.20650000000000002,-1.1524999999999999
361,U1474,A,4,H,6,W,85.0,86.0,33.346000000000004,33.356,uvi & cib,4.417000000000001,-0.048,-0.9605
361,U1474,A,4,H,6,W,98.0,99.0,33.476,33.486000000000004,uvi & cib,4.25725,0.026,-0.535
361,U1474,A,4,H,6,W,110.0,111.0,33.596000000000004,33.606,uvi & cib,4.1963333333333335,0.03949999999999999,-0.598
361,U1474,F,5,H,1,W,85.0,86.0,33.714,33.724,uvi & cib,3.8253333333333335,0.349,-0.427
361,U1474,F,5,H,1,W,97.0,98.0,33.833999999999996,33.843999999999994,uvi & cib,3.9410000000000003,-0.111,-0.7825
361,U1474,F,5,H,1,W,109.0,110.0,33.954,33.964,uvi & cib,4.181,0.083,-0.968
361,U1474,F,5,H,1,W,122.0,123.0,34.083999999999996,34.093999999999994,uvi & cib,4.003333333333333,-0.002,-0.822
361,U1474,F,5,H,1,W,134.0,135.0,34.204,34.214,uvi & cib,3.984,-0.18,-1.084
361,U1474,F,5,H,1,W,146.0,147.0,34.324,34.333999999999996,uvi & cib,3.857666666666667,0.224,-0.5825
361,U1474,F,5,H,2,W,8.0,9.0,34.443999999999996,34.454,uvi & cib,3.8770000000000002,0.623,-0.4845
361,U1474,F,5,H,2,W,21.0,22.0,34.574,34.583999999999996,uvi & cib,3.87575,-0.057999999999999996,-0.7585
361,U1474,F,5,H,2,W,33.0,34.0,34.693999999999996,34.704,uvi & cib,3.8370000000000006,0.268,-0.3406666666666667
361,U1474,F,5,H,2,W,45.0,46.0,34.814,34.824,uvi & cib,3.8,0.259,-0.6956666666666668
361,U1474,F,5,H,2,W,57.0,58.0,34.934,34.943999999999996,uvi & cib,3.658,-0.0036666666666666653,-0.629
361,U1474,F,5,H,2,W,70.0,71.0,35.064,35.074,uvi & cib,4.6739999999999995,-0.406,-1.117
361,U1474,F,5,H,2,W,82.0,83.0,35.184,35.193999999999996,uvi & cib,4.757,-0.601,-1.2974999999999999
361,U1474,F,5,H,2,W,94.0,95.0,35.303999999999995,35.314,uvi & cib,4.9145,-0.443,-1.235
361,U1474,F,5,H,2,W,106.0,107.0,35.424,35.434,uvi & cib,4.797,,-1.331
361,U1474,F,5,H,2,W,119.0,120.0,35.553999999999995,35.564,uvi & cib,4.575,,-1.2155
361,U1474,F,5,H,2,W,143.0,144.0,35.794,35.803999999999995,uvi & cib,4.6705000000000005,-0.815,-1.387
361,U1474,F,5,H,3,W,5.0,6.0,35.913999999999994,35.924,uvi & cib,4.6995000000000005,-0.684,-1.115
361,U1474,F,5,H,3,W,18.0,19.0,36.044,36.053999999999995,uvi & cib,4.73825,-0.5586666666666666,-1.295
361,U1474,F,5,H,3,W,30.0,31.0,36.163999999999994,36.174,uvi & cib,4.63275,-0.7,-1.0830000000000002
