Era,Leg/Exp,Site,Hole,Latitude,Longitude,Water depth (m),Transition Depth,Green bands assoc. with transition,Red bands assoc. with transition,Green bands deeper than transiition,Red bands deeper than transiition,Unusable image,Bottomwater O2 (umol/L),CaCO3 (%),Productivity (mgC/m2/day),Organic Carbon (%),Sedimentation Rate (cm/ka)
DSDP,11,103,*,30.4513,-74.5832,3964.0,None,False,False,False,False,False,242.75,33.7425,177.4263916015625,0.5483276844024658,3.190654993057251
DSDP,11,104,*,30.8275,-74.3273,3811.0,None,False,False,False,False,False,242.75,33.7425,177.4263916015625,0.525035560131073,3.319586992263794
DSDP,11,106,*,36.4335,-69.4615,4500.0,Deep (>40 cm),False,False,False,False,False,244.3125,29.605,248.72433471679688,0.4526151120662689,2.1327338218688965
DSDP,12,111,*,50.4262,-46.3675,1797.0,None,False,False,False,False,False,292.9375,38.955,1030.20361328125,0.4097524881362915,1.7224162817001345
DSDP,13,125,*,34.6248,20.4293,2782.0,None,False,False,False,True,False,,,202.17918395996097,1.0931084156036377,
DSDP,13,132,*,40.2617,11.4412,2835.0,None,False,False,False,False,False,,,327.9131774902344,0.7353905439376831,
DSDP,14,135,*,35.3467,-10.4243,4152.0,None,False,False,False,False,False,237.75,47.415,366.2405090332031,0.4913546144962311,3.2532782554626465
DSDP,15,148,*,13.4187,-63.7208,1232.0,None,False,False,False,False,False,226.5,34.315,737.6171264648438,1.5064318180084229,1.7844957113265991
DSDP,16,156,*,-1.68,-85.401,2369.0,None,False,False,False,False,False,115.0625,74.8175,732.5235595703125,2.2995083332061768,2.223553419113159
DSDP,16,158,*,6.6227,-85.236,1953.0,None,False,False,False,False,False,91.0625,37.885,441.9642639160156,3.1297695636749268,2.4696240425109863
DSDP,16,159,*,12.332,-122.2878,4484.0,None,False,False,False,False,True,158.875,4.1275,276.6963195800781,0.751733124256134,0.3540942370891571
DSDP,16,160,*,11.7045,-130.8802,4940.0,None,False,False,False,False,False,164.9375,0.145,283.8916015625,0.7459332942962646,0.3525901138782501
DSDP,16,161,*,10.6708,-139.9535,4939.0,None,False,False,False,False,False,172.1875,0.1699999999999999,271.3492736816406,0.5515644550323486,0.4329256117343902
DSDP,16,162,*,14.8698,-140.0435,4854.0,None,False,False,False,False,False,171.5625,0.13,234.74082946777344,0.4633725583553314,0.2154657542705536
DSDP,17,165,*,8.1783,-164.86,5053.0,None,False,False,False,False,False,181.375,46.1525,232.7552795410156,1.4692587852478027,0.361719012260437
DSDP,17,167,*,7.0683,-176.825,3176.0,None,False,False,False,False,False,185.25,75.93666666666667,197.93011474609375,0.7508972883224487,0.1544330269098281
DSDP,18,172,*,31.5372,-133.3727,4768.0,None,False,False,False,False,False,149.5,1.1725,361.7156677246094,0.3091305196285248,0.2811097204685211
DSDP,18,173,*,39.9618,-125.452,2927.0,None,False,False,False,False,False,100.8125,5.8125,1040.802490234375,2.0792274475097656,13.257684707641602
DSDP,18,174,*,44.8897,-126.3467,2815.0,None,False,False,False,False,True,87.0625,10.5425,1032.91015625,1.394478440284729,24.226884841918945
DSDP,18,176,*,45.9333,-124.6167,193.0,None,False,False,False,False,False,86.66666412353516,3.0,3319.01953125,1.1247819662094116,23.34073829650879
DSDP,18,177,*,50.4697,-130.205,2006.0,None,False,False,False,False,False,97.25,19.515,1305.8016357421875,1.5898232460021973,34.76033401489258
DSDP,18,178,*,56.9563,-147.131,4218.0,None,False,False,False,False,False,99.5625,4.5475,1075.161376953125,0.4435952603816986,2.42179536819458
DSDP,18,179,*,56.409,-145.9887,3781.0,None,False,False,False,False,False,106.5,12.1475,1022.458984375,0.3897909522056579,2.674269914627075
DSDP,18,180,*,57.3627,-147.8562,4923.0,None,False,False,False,False,False,94.5,2.2500000000000004,1302.1322021484375,0.6966964602470398,2.4206650257110596
DSDP,18,181,*,57.4383,-148.4647,3086.0,None,False,False,False,False,False,89.375,0.945,1358.8734130859375,0.9426255822181702,2.2951738834381104
DSDP,18,182,*,57.8827,-148.7165,1419.0,None,False,False,False,False,False,89.375,0.945,1358.8734130859375,1.1825273036956787,2.837123155593872
DSDP,19,183,*,52.5717,-161.2055,4708.0,None,False,False,False,False,False,160.25,0.0,796.4764404296875,0.6597954630851746,1.0789287090301514
DSDP,19,184,*,53.7107,-170.9232,1910.0,None,False,False,False,False,False,170.7142791748047,,806.80517578125,0.8425225615501404,
DSDP,19,185,*,54.4288,-169.2432,2110.0,None,False,False,False,False,False,176.36363220214844,,1122.48876953125,0.8683515191078186,
DSDP,19,186,*,51.1302,-174.0057,4522.0,None,False,False,False,True,False,152.5,0.6799999999999999,790.4371337890625,0.9076240062713624,1.0994776487350464
DSDP,19,188,*,53.7535,178.6593,2649.0,None,False,False,False,False,True,90.26923370361328,0.0,650.686279296875,0.8781741857528687,
DSDP,19,189,*,54.0357,170.223,3437.0,None,False,False,False,False,False,147.5625,0.0,825.130126953125,0.7263356447219849,
DSDP,19,190,*,55.5592,171.6403,3875.0,Shallow (<40 cm),False,False,False,False,False,137.6875,6.4825,759.5992431640625,0.709130048751831,
DSDP,19,192,*,53.0095,164.7135,3014.0,None,False,False,False,False,True,167.25,65.0,849.4414672851562,1.120028018951416,
DSDP,20,200,*,12.8367,156.7827,1479.0,None,False,False,False,False,False,180.375,1.155,109.10982513427734,0.3504961431026459,0.1574666947126388
DSDP,21,203,*,-22.1537,-177.5462,2720.0,None,False,False,False,False,False,199.625,18.7275,228.1250915527344,0.8185257315635681,6.6343889236450195
DSDP,21,204,*,-24.9545,-174.1115,5354.0,None,False,False,False,False,False,206.875,0.0,205.93458557128903,0.3387335538864136,0.0987121760845184
DSDP,21,206,*,-32.0125,165.4525,3196.0,None,False,False,False,False,False,168.0625,81.285,354.1531677246094,0.902399718761444,
DSDP,21,207,*,-36.9625,165.4343,1389.0,None,False,False,False,False,False,189.5625,84.4525,443.3614807128906,0.7029034495353699,
DSDP,21,208,*,-26.1102,161.2212,1545.0,None,False,False,False,False,False,166.5625,81.88999999999999,228.62298583984375,0.6528087258338928,
DSDP,21,209,*,-15.9365,152.1878,1428.0,None,False,False,False,False,False,184.625,22.396666666666665,163.93252563476562,0.8126855492591858,1.0319077968597412
DSDP,21,210,*,-13.7665,152.8963,4643.0,None,False,False,False,False,True,178.8125,14.517499999999998,179.19163513183594,0.9115616679191588,0.7527492046356201
DSDP,22,211,*,-9.7755,102.6992,5518.0,None,False,False,False,False,False,196.625,6.772499999999999,220.21095275878903,0.5442469120025635,0.7656334042549133
DSDP,22,212,*,-19.189,99.2973,6233.0,None,False,False,False,False,False,204.0625,0.4775,193.3729248046875,0.4180323183536529,0.1254915595054626
DSDP,22,213,*,-10.2118,93.8962,5601.0,None,False,False,False,False,False,198.3125,11.2325,200.94650268554688,0.3622668981552124,0.0221941545605659
