Exp,Site,Hole,Core,Type,Section,A/W,Top offset (cm),Bottom offset (cm),Top depth CCSF (m),Bottom depth CCSF (m),Species,benthic d18O,s d18O,benthic d13C,s d13C
361,U1474,D,3,H,4,W,6.0,7.0,15.116,15.126,uvi & cib,4.2565,0.038,0.4185,0.025
361,U1474,D,3,H,4,W,18.0,19.0,15.235999999999999,15.245999999999999,uvi & cib,4.151,0.04,0.22199999999999995,0.0235
361,U1474,D,3,H,4,W,30.0,31.0,15.356,15.366,uvi & cib,4.0355,0.0395,0.34099999999999997,0.020499999999999997
361,U1474,D,3,H,4,W,42.0,43.0,15.475999999999999,15.485999999999999,uvi & cib,4.0295000000000005,0.026500000000000003,0.26749999999999996,0.019000000000000003
361,U1474,D,3,H,4,W,54.0,55.0,15.596,15.606,uvi & cib,4.103,0.0325,-0.0005000000000000282,0.025
361,U1474,D,3,H,4,W,67.0,68.0,15.725999999999999,15.735999999999999,uvi & cib,3.862,0.043,0.39549999999999996,0.019
361,U1474,D,3,H,4,W,79.0,80.0,15.846,15.856,uvi & cib,3.4880000000000004,0.048,0.8374999999999999,0.019
361,U1474,D,3,H,4,W,91.0,92.0,15.966,15.975999999999999,uvi & cib,3.263,0.0275,0.867,0.017
361,U1474,D,3,H,4,W,103.0,104.0,16.086,16.096,cib,3.2840000000000003,0.028,0.7449999999999999,0.018
361,U1474,D,3,H,4,W,116.0,117.0,16.215999999999998,16.226,cib,3.2310000000000003,0.039,0.688,0.021
361,U1474,D,3,H,4,W,128.0,129.0,16.336,16.346,cib,3.2150000000000003,0.04,0.593,0.024
361,U1474,D,3,H,4,W,140.0,141.0,16.456,16.465999999999998,cib,3.339,0.062,0.386,0.029
361,U1474,D,3,H,5,W,2.0,3.0,16.576,16.586000000000002,cib,3.3520000000000003,0.043,0.427,0.017
361,U1474,D,3,H,5,W,15.0,16.0,16.706,16.716,cib,3.557,0.04,0.6080000000000001,0.013
361,U1474,D,3,H,5,W,27.0,28.0,16.826,16.836000000000002,cib,3.717,0.024,0.328,0.015
361,U1474,D,3,H,5,W,39.0,40.0,16.946,16.956,cib,3.758,0.056,0.066,0.034
361,U1474,D,3,H,5,W,51.0,52.0,17.066000000000003,17.076,cib,4.146,0.035,-0.03400000000000001,0.015
361,U1474,D,3,H,5,W,64.0,65.0,17.196,17.206,uvi & cib,5.0165,0.0335,-0.2875,0.0215
361,U1474,A,3,H,3,W,123.0,124.0,17.433,17.442999999999998,uvi & cib,5.2155,0.036500000000000005,-0.35750000000000004,0.0155
361,U1474,A,3,H,3,W,135.0,136.0,17.553,17.563,uvi,5.158,0.029,-0.251,0.029
361,U1474,A,3,H,4,W,47.0,48.0,18.173,18.183,uvi & cib,4.9125,0.033,-0.4435,0.020999999999999998
361,U1474,A,3,H,4,W,59.0,60.0,18.293,18.303,uvi & cib,4.8115,0.0315,-0.14600000000000005,0.0225
361,U1474,A,3,H,4,W,83.0,84.0,18.532999999999998,18.543,uvi & cib,4.0969999999999995,0.028999999999999998,-0.189,0.02
361,U1474,A,3,H,4,W,95.0,96.0,18.653,18.663,uvi & cib,4.727,0.032,-0.26100000000000007,0.0125
361,U1474,A,3,H,4,W,108.0,109.0,18.783,18.793,uvi & cib,4.6975,0.037000000000000005,-0.3655,0.014499999999999999
361,U1474,A,3,H,4,W,132.0,133.0,19.023,19.033,uvi & cib,4.84,0.044,-0.364,0.025
361,U1474,A,3,H,4,W,144.0,145.0,19.143,19.153,uvi & cib,4.773,0.033,-0.138,0.0165
361,U1474,A,3,H,5,W,7.0,8.0,19.273,19.282999999999998,uvi & cib,4.577999999999999,0.0245,-0.176,0.015
361,U1474,A,3,H,5,W,19.0,20.0,19.393,19.403,uvi & cib,4.5065,0.031,-0.421,0.0175
361,U1474,A,3,H,5,W,31.0,32.0,19.512999999999998,19.523,uvi & cib,4.637499999999999,0.03,-0.44500000000000006,0.0155
361,U1474,A,3,H,5,W,43.0,44.0,19.633,19.643,uvi & cib,4.6795,0.024,-0.3215,0.0185
361,U1474,A,3,H,5,W,68.0,69.0,19.883,19.893,uvi & cib,4.5495,0.0435,-0.12500000000000006,0.028
361,U1474,A,3,H,5,W,80.0,81.0,20.003,20.012999999999998,uvi & cib,4.5184999999999995,0.0305,-0.23600000000000002,0.013
361,U1474,A,3,H,5,W,92.0,93.0,20.123,20.133,uvi & cib,4.5495,0.033,-0.27099999999999996,0.0175
361,U1474,A,3,H,5,W,105.0,106.0,20.253,20.262999999999998,uvi & cib,4.4505,0.045,0.12199999999999997,0.0185
361,U1474,A,3,H,5,W,117.0,118.0,20.372999999999998,20.383,uvi & cib,4.471500000000001,0.031,0.10699999999999997,0.011
361,U1474,A,3,H,5,W,129.0,130.0,20.493,20.503,uvi & cib,4.161,0.0295,0.4435,0.024
361,U1474,A,3,H,5,W,141.0,142.0,20.613,20.622999999999998,uvi,3.98,0.038,0.604,0.016
361,U1474,A,3,H,6,W,4.0,5.0,20.743,20.753,uvi & cib,4.1545000000000005,0.019,0.6349999999999999,0.011
361,U1474,A,3,H,6,W,16.0,17.0,20.863,20.873,uvi & cib,3.8805,0.0335,0.369,0.019000000000000003
361,U1474,A,3,H,6,W,28.0,29.0,20.983,20.993,uvi & cib,3.903,0.0305,0.503,0.0135
361,U1474,A,3,H,6,W,40.0,41.0,21.102999999999998,21.113,uvi & cib,3.7875,0.035,0.735,0.019
361,U1474,D,4,H,1,W,69.0,70.0,21.238,21.247999999999998,uvi & cib,3.688,0.0315,0.5724999999999999,0.022
361,U1474,D,4,H,1,W,81.0,82.0,21.357999999999997,21.368,uvi & cib,3.636,0.041499999999999995,0.815,0.022
361,U1474,D,4,H,1,W,93.0,94.0,21.477999999999998,21.488,uvi & cib,3.7535,0.0325,0.7925,0.016
361,U1474,D,4,H,1,W,105.0,106.0,21.598,21.607999999999997,uvi & cib,3.8665000000000003,0.0475,0.741,0.026500000000000003
361,U1474,D,4,H,1,W,117.0,118.0,21.717999999999996,21.727999999999998,uvi,3.744,0.031,0.721,0.014
361,U1474,D,4,H,1,W,130.0,131.0,21.848,21.857999999999997,uvi & cib,3.865,0.024,0.9039999999999999,0.017
361,U1474,D,4,H,1,W,142.0,143.0,21.967999999999996,21.977999999999998,uvi & cib,3.9105,0.019,0.7115,0.020999999999999998
361,U1474,D,4,H,2,W,4.0,5.0,22.087999999999997,22.098,uvi & cib,3.9675000000000002,0.035500000000000004,0.5825,0.013999999999999999
361,U1474,D,4,H,2,W,16.0,17.0,22.208,22.218,uvi & cib,4.009,0.033,0.489,0.031
361,U1474,D,4,H,2,W,29.0,30.0,22.337999999999997,22.348,uvi & cib,4.241,0.025500000000000002,0.6839999999999999,0.019
361,U1474,D,4,H,2,W,41.0,42.0,22.458,22.468,uvi & cib,4.1945,0.045,0.6339999999999999,0.025
361,U1474,D,4,H,2,W,53.0,54.0,22.578,22.587999999999997,uvi & cib,4.1605,0.034999999999999996,0.4235,0.0175
361,U1474,D,4,H,2,W,65.0,66.0,22.697999999999997,22.708,uvi & cib,3.931,0.028499999999999998,0.576,0.0165
361,U1474,D,4,H,2,W,78.0,79.0,22.828,22.837999999999997,uvi & cib,4.1175,0.045,0.357,0.022
361,U1474,D,4,H,2,W,90.0,91.0,22.947999999999997,22.958,uvi & cib,4.058,0.0335,0.27549999999999997,0.015
361,U1474,D,4,H,2,W,102.0,103.0,23.067999999999998,23.078,cib,4.646999999999999,0.037,-0.20800000000000002,0.015
361,U1474,D,4,H,2,W,114.0,115.0,23.188,23.197999999999997,uvi & cib,4.734999999999999,0.026500000000000003,0.04199999999999997,0.0225
361,U1474,D,4,H,2,W,127.0,128.0,23.317999999999998,23.328,uvi & cib,4.6905,0.028,-0.00900000000000005,0.018000000000000002
361,U1474,D,4,H,2,W,139.0,140.0,23.438,23.447999999999997,cib,4.61,0.042,0.009999999999999995,0.02
361,U1474,D,4,H,3,W,1.0,2.0,23.558,23.567999999999998,uvi & cib,4.696,0.043,0.357,0.0125
361,U1474,D,4,H,3,W,26.0,27.0,23.808,23.817999999999998,cib,4.68,0.051,0.04999999999999999,0.023
361,U1474,D,4,H,3,W,38.0,39.0,23.927999999999997,23.938,cib,,0.13,,0.061
361,U1474,D,4,H,3,W,50.0,51.0,24.048,24.058,cib,4.2,0.026,-0.04000000000000001,0.025
361,U1474,D,4,H,3,W,62.0,63.0,24.168,24.177999999999997,cib,4.4399999999999995,0.051,0.06,0.036
361,U1474,D,4,H,3,W,87.0,88.0,24.418,24.427999999999997,cib,,0.118,,0.051
361,U1474,D,4,H,3,W,99.0,100.0,24.537999999999997,24.548,cib,4.08,0.035,-0.060000000000000005,0.033
361,U1474,D,4,H,3,W,111.0,112.0,24.657999999999998,24.668,uvi & cib,3.5795,0.078,0.6804999999999999,0.034999999999999996
361,U1474,D,4,H,3,W,123.0,124.0,24.778,24.787999999999997,uvi & cib,3.9005,0.0575,0.6809999999999999,0.0325
361,U1474,D,4,H,3,W,148.0,149.0,25.028,25.037999999999997,uvi & cib,3.5975,0.0615,0.8254999999999999,0.0245
361,U1474,D,4,H,4,W,10.0,11.0,25.148,25.157999999999998,cib,3.47,0.063,0.5900000000000001,0.032
361,U1474,D,4,H,4,W,22.0,23.0,25.267999999999997,25.278,cib,3.98,0.042,0.09,0.025
361,U1474,D,4,H,4,W,35.0,36.0,25.398,25.407999999999998,uvi & cib,4.187,0.07050000000000001,0.23650000000000002,0.0315
361,U1474,D,4,H,4,W,47.0,48.0,25.517999999999997,25.528,cib,4.4399999999999995,0.043,-0.09000000000000001,0.031
361,U1474,D,4,H,4,W,59.0,60.0,25.637999999999998,25.648,cib,3.69,0.067,-0.23,0.043
361,U1474,D,4,H,4,W,71.0,72.0,25.758,25.767999999999997,cib,4.32,0.061,0.41,0.03
361,U1474,D,4,H,4,W,84.0,85.0,25.887999999999998,25.898,uvi & cib,4.1015,0.032,0.37949999999999995,0.024
361,U1474,F,4,H,3,W,50.0,51.0,26.004,26.014000000000003,cib,4.25,0.055,0.12,0.018
361,U1474,F,4,H,3,W,62.0,63.0,26.124000000000002,26.134,cib,4.07,0.059,0.52,0.034
361,U1474,F,4,H,3,W,74.0,75.0,26.244,26.254,cib,3.91,0.04,0.31,0.022
361,U1474,F,4,H,3,W,87.0,88.0,26.374000000000002,26.384,cib,4.17,0.068,0.25,0.032
361,U1474,F,4,H,3,W,99.0,100.0,26.494,26.504,cib,3.64,0.075,0.31,0.046
361,U1474,F,4,H,3,W,111.0,112.0,26.614,26.624000000000002,uvi & cib,3.9350000000000005,0.0485,0.42000000000000004,0.0305
361,U1474,F,4,H,3,W,123.0,124.0,26.734,26.744,cib,3.54,0.042,0.6000000000000001,0.026
361,U1474,F,4,H,3,W,136.0,137.0,26.864,26.874000000000002,cib,4.34,0.047,-0.13,0.044
361,U1474,F,4,H,3,W,148.0,149.0,26.984,26.994,cib,5.18,0.046,-0.07,0.031
361,U1474,F,4,H,4,W,10.0,11.0,27.104000000000003,27.114,cib,5.0,0.05,0.01999999999999999,0.029
361,U1474,F,4,H,4,W,22.0,23.0,27.224,27.234,cib,5.13,0.044,-0.15000000000000002,0.024
361,U1474,F,4,H,4,W,35.0,36.0,27.354000000000003,27.364,cib,4.93,0.042,-0.19,0.022
361,U1474,F,4,H,4,W,47.0,48.0,27.474,27.484,cib,4.47,0.024,-0.71,0.022
361,U1474,F,4,H,4,W,59.0,60.0,27.594,27.604000000000003,cib,4.67,0.036,-0.08,0.026
361,U1474,F,4,H,4,W,71.0,72.0,27.714000000000002,27.724,cib,4.67,0.064,-0.33,0.044
361,U1474,F,4,H,4,W,83.0,84.0,27.834,27.844,cib,4.779999999999999,0.02,-0.43,0.022
361,U1474,F,4,H,4,W,96.0,97.0,27.964000000000002,27.974,cib,4.699999999999999,0.096,-0.48,0.059
