leg,site,hole,well logging,latitude,longitude,ocean,ocean hemisphere,sea,physographic feature,hard rock feature,ta,td,re-entry,site survey,site termination,crust,equipment test,heat flow,in situ pore water,hydraulic piston core,variable length hpc,pressure core barrel,punch core,extended core barrel,water depth(m),total penetration(m),drilled penetration(m),cored penetration(m),number of cores recovered,meters recovered,percent recovery,meters of hard rock cored,number of hard rock cores,meters of hard rock recovered,depth to basememnt(m),oldest sediment sub-bottom depth,oldest sediment depth below sealevel,oldest sediment core number,oldest sediment age,oldest sediment lithology,oldest sediment lithology composition,oldest sediment source,oldest sediment heterogeneity,oldest sediment hardness,oldest comp1,oldest comp2,hard rock descriptions and comments
3,14,,NO,-28.3315,-20.941,ATLANTIC,SOUTH,,HILL,,12/20/1968,12/23/1968,NO,YES,MECHANICAL OR EQUIPMENT FAILURE,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,4343,107.0,15.0,92.0,10.0,79.0,85,1.5,1.0,1.0,107.0,107.0,4450.0,9,NO AGE GIVEN,CRYSTALLINE MARBLE,CALCAREOUS,TRANSITIONAL,MONOGENIC,HARD,ESTIMATED CARBONATE,unk - 0000,BASALT
3,15,,NO,-30.8897,-17.9832,ATLANTIC,SOUTH,,HILL,,12/24/1968,12/26/1968,NO,YES,OBJECTIVE REACHED,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,3927,142.0,59.0,83.0,11.0,80.0,96,1.4,2.0,0.45,141.0,141.0,4068.0,9,NO AGE GIVEN,MARLY CHALK OOZE,CALCAREOUS,TRANSITIONAL,HETEROGENIC,SOFT,ESTIMATED CARBONATE,unk - 0000,APHANITIC BASALT
3,16,,NO,-30.3358,-15.7132,ATLANTIC,SOUTH,,HILL,,12/26/1968,12/28/1968,NO,YES,DRILL BIT WORN OUT,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,3527,176.0,76.0,100.0,12.0,99.0,99,0.3,1.0,0.3,175.0,162.0,3689.0,11,NO AGE GIVEN,CLAY MINERAL RICH NANNOFOSSIL CHALK,CALCAREOUS,PELAGIC,MONOGENIC,FIRM,NANNOFOSSIL,CLAY MINERAL,
3,17,,NO,-28.0457,-6.6025,ATLANTIC,SOUTH,,HILL,,12/30/1968,12/31/1968,NO,NO,CHIEF SCIENTIST DECISION,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,4265,93.0,56.0,37.0,5.0,36.0,97,,,,,85.4,4350.0,4,NO AGE GIVEN,NANNO CHALK,CALCAREOUS,PELAGIC,MONOGENIC,FIRM,NANNOFOSSIL,unk - 0000,
3,17,,NO,-28.0457,-6.6025,ATLANTIC,SOUTH,,HILL,,12/30/1968,12/31/1968,NO,NO,CHIEF SCIENTIST DECISION,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,4265,93.0,56.0,37.0,5.0,36.0,97,,,,,85.4,4350.0,4,NO AGE GIVEN,NANNO CHALK,CALCAREOUS,PELAGIC,MONOGENIC,FIRM,NANNOFOSSIL,unk - 0000,
3,17,,NO,-28.0457,-6.6025,ATLANTIC,SOUTH,,HILL,,12/30/1968,12/31/1968,NO,NO,CHIEF SCIENTIST DECISION,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,4265,93.0,56.0,37.0,5.0,36.0,97,,,,,85.4,4350.0,4,NO AGE GIVEN,NANNO CHALK,CALCAREOUS,PELAGIC,MONOGENIC,FIRM,NANNOFOSSIL,unk - 0000,
3,18,,NO,-27.9787,-8.0117,ATLANTIC,SOUTH,,PLAIN,,01/02/1969,01/04/1969,NO,NO,OBJECTIVE REACHED,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,4018,178.1,125.0,53.0,7.0,52.0,98,0.3,,0.3,178.0,178.1,4196.0,6,NO AGE GIVEN,FORAM-NANNO CHALK OOZE,CALCAREOUS,PELAGIC,MONOGENIC,FIRM,NANNOFOSSIL,FORAMINIFERA,APHANITIC BASALT
3,19,,NO,-28.5347,-23.6772,ATLANTIC,SOUTH,,RIDGE,FLOW,01/07/1969,01/09/1969,NO,YES,OBJECTIVE REACHED,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,4677,145.0,42.0,104.0,12.0,96.0,92,4.3,2.0,2.1,141.0,140.9,4818.0,11,NO AGE GIVEN,NANNO CHALK OOZE,CALCAREOUS,PELAGIC,MONOGENIC,SOFT,NANNOFOSSIL,unk - 0000,APHANITIC BASALT
3,20,,NO,-28.5262,-26.843,ATLANTIC,SOUTH,,VALLEY,,01/09/1969,01/11/1969,NO,YES,CHIEF SCIENTIST DECISION,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,4500,6.4,,6.4,1.0,6.1,95,,,,,6.4,4506.0,1,NO AGE GIVEN,CLAY MINERAL RICH CLAYSTONE,DETRITAL,TERRIGENOUS,HETEROGENIC,HARD,unk - 3100,CLAY MINERAL,
3,20,,NO,-28.5262,-26.843,ATLANTIC,SOUTH,,VALLEY,,01/09/1969,01/11/1969,NO,YES,CHIEF SCIENTIST DECISION,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,4500,6.4,,6.4,1.0,6.1,95,,,,,6.4,4506.0,1,NO AGE GIVEN,CLAY MINERAL RICH CLAYSTONE,DETRITAL,TERRIGENOUS,HETEROGENIC,HARD,unk - 3100,CLAY MINERAL,
