/* DATA DESCRIPTION:
	EN066-39GGC * LATITUDE: 5.072000 * LONGITUDE: -20.867000 * DATE/TIME: 1981-05-31T00:00:00 * ELEVATION: -2818.0 m * CAMPAIGN: EN06601 * BASIS: Endeavor * METHOD/DEVICE: Gravity corer (GC)
	EN066-39PG * LATITUDE: 4.918000 * LONGITUDE: -20.498000 * DATE/TIME: 1981-05-31T00:00:00 * ELEVATION: -2931.0 m * CAMPAIGN: EN06601 * BASIS: Endeavor * METHOD/DEVICE: Gravity corer (GC)
	EN066-43GGC * LATITUDE: 5.070000 * LONGITUDE: -21.640000 * DATE/TIME: 1981-05-31T00:00:00 * ELEVATION: -3197.0 m * CAMPAIGN: EN06601 * BASIS: Endeavor * METHOD/DEVICE: Gravity corer (GC)
	EN066-44GGC * LATITUDE: 5.263000 * LONGITUDE: -21.712000 * DATE/TIME: 1981-06-01T00:00:00 * ELEVATION: -3428.0 m * CAMPAIGN: EN06601 * BASIS: Endeavor * METHOD/DEVICE: Gravity corer (GC)
	EN066-47PG * LATITUDE: 5.313000 * LONGITUDE: -22.197000 * DATE/TIME: 1981-06-01T00:00:00 * ELEVATION: -3951.0 m * CAMPAIGN: EN06601 * BASIS: Endeavor * METHOD/DEVICE: Gravity corer (GC)
	ERDC-079BX * LATITUDE: 2.785000 * LONGITUDE: 156.230000 * DATE/TIME: 1975-04-11T00:00:00 * ELEVATION: -2766.0 m * CAMPAIGN: ERDC * BASIS: Thomas Washington * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer)
	ERDC-092BX * LATITUDE: -2.225000 * LONGITUDE: 156.998000 * DATE/TIME: 1975-04-19T00:00:00 * ELEVATION: -1598.0 m * CAMPAIGN: ERDC * BASIS: Thomas Washington * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer)
	ERDC-102BX * LATITUDE: -3.605000 * LONGITUDE: 161.318000 * DATE/TIME: 1975-04-22T00:00:00 * ELEVATION: -2300.0 m * CAMPAIGN: ERDC * BASIS: Thomas Washington * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer)
	ERDC-129BX * LATITUDE: -0.007000 * LONGITUDE: 161.975000 * DATE/TIME: 1975-04-28T00:00:00 * ELEVATION: -4169.0 m * CAMPAIGN: ERDC * BASIS: Thomas Washington * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer)
	KN708-1 * LATITUDE: 50.000000 * LONGITUDE: -23.750000 * ELEVATION: -4053.0 m * LOCATION: North Atlantic * METHOD/DEVICE: Gravity corer (GC)
	KNR110-55 (0055PG) * LATITUDE: 4.948000 * LONGITUDE: -42.892000 * DATE/TIME: 1984-11-05T00:00:00 * ELEVATION: -4556.0 m * CAMPAIGN: KN11002 * BASIS: Knorr * METHOD/DEVICE: Gravity corer (GC)
	KNR110-82 (0082PG) * LATITUDE: 4.337000 * LONGITUDE: -43.487000 * DATE/TIME: 1984-11-08T00:00:00 * ELEVATION: -2816.0 m * CAMPAIGN: KN11002 * BASIS: Knorr * METHOD/DEVICE: Gravity corer (GC)
	KNR110-91 (0091PG) * LATITUDE: 4.760000 * LONGITUDE: -43.307000 * DATE/TIME: 1984-11-09T00:00:00 * ELEVATION: -3810.0 m * CAMPAIGN: KN11002 * BASIS: Knorr * METHOD/DEVICE: Gravity corer (GC)
	KS7703 * LATITUDE: 57.000000 * LONGITUDE: -29.000000 * METHOD/DEVICE: Piston corer (PC)
	MD84-527 * LATITUDE: -43.821700 * LONGITUDE: 51.318300 * DATE/TIME: 1984-01-01T00:00:00 * ELEVATION: -3262.0 m * Recovery: 14.9 m * LOCATION: South Indian Ocean * CAMPAIGN: MD38 (APSARA2) * BASIS: Marion Dufresne (1972) (URI: https://fr.wikipedia.org/wiki/Marion_Dufresne_(1972)) * METHOD/DEVICE: Piston corer (PC)
	MD84-552 * LATITUDE: -54.550000 * LONGITUDE: 75.830000 * DATE/TIME: 1984-01-01T00:00:00 * ELEVATION: -1780.0 m * Recovery: 7.5 m * LOCATION: South Indian Ocean * CAMPAIGN: MD38 (APSARA2) * BASIS: Marion Dufresne (1972) (URI: https://fr.wikipedia.org/wiki/Marion_Dufresne_(1972)) * METHOD/DEVICE: Piston corer (PC)
	MD88-773 * LATITUDE: -52.900500 * LONGITUDE: 109.869667 * DATE/TIME: 1988-02-01T00:00:00 * ELEVATION: -2460.0 m * Recovery: 17.55 m * LOCATION: South Pacific * CAMPAIGN: APSARA4 * BASIS: Marion Dufresne (1972) (URI: https://fr.wikipedia.org/wiki/Marion_Dufresne_(1972)) * METHOD/DEVICE: Piston corer (PC)
	PLDS-130PG * LATITUDE: 4.005000 * LONGITUDE: -136.005000 * DATE/TIME: 1976-09-13T00:00:00 * ELEVATION: -4469.0 m * CAMPAIGN: PLDS-4 (MN76-01, Pleiades) (URI: https://doi.org/10.6075/J03F4N24) * BASIS: Melville * METHOD/DEVICE: Gravity corer (GC)
	RC01-2 * LATITUDE: 29.700000 * LONGITUDE: -80.150000 * DATE/TIME: 1962-12-04T00:00:00 * ELEVATION: -324.0 m * Recovery: 6.1 m * CAMPAIGN: RC01 (RC0101-RC0102) * BASIS: Robert Conrad * METHOD/DEVICE: Piston corer (PC)
	RC08-39 * LATITUDE: -42.880000 * LONGITUDE: 42.350000 * DATE/TIME: 1964-01-12T00:00:00 * ELEVATION: -4330.0 m * Recovery: 9.44 m * CAMPAIGN: RC08 * BASIS: Robert Conrad * METHOD/DEVICE: Piston corer (PC)
	RC08-71 * LATITUDE: -58.050000 * LONGITUDE: 155.730000 * DATE/TIME: 1964-02-22T00:00:00 * ELEVATION: -3224.0 m * Recovery: 8.67 m * CAMPAIGN: RC08 * BASIS: Robert Conrad * METHOD/DEVICE: Piston corer (PC)
	RC10-159 * LATITUDE: 31.217000 * LONGITUDE: 162.320000 * DATE/TIME: 1966-05-19T00:00:00 * ELEVATION: -5894.0 m * Recovery: 10.88 m * CAMPAIGN: RC10 * BASIS: Robert Conrad * METHOD/DEVICE: Piston corer (PC)
	RC10-160 * LATITUDE: 32.483000 * LONGITUDE: 159.830000 * DATE/TIME: 1966-05-20T00:00:00 * ELEVATION: -4621.0 m * Recovery: 12.09 m * CAMPAIGN: RC10 * BASIS: Robert Conrad * METHOD/DEVICE: Piston corer (PC)
	RC10-161 * LATITUDE: 33.083000 * LONGITUDE: 158.000000 * DATE/TIME: 1966-05-21T00:00:00 * ELEVATION: -3587.0 m * Recovery: 10.6 m * CAMPAIGN: RC10 * BASIS: Robert Conrad * METHOD/DEVICE: Piston corer (PC)
	RC10-171 * LATITUDE: 32.483000 * LONGITUDE: 153.030000 * DATE/TIME: 1966-06-13T00:00:00 * ELEVATION: -5544.0 m * Recovery: 11.91 m * CAMPAIGN: RC10 * BASIS: Robert Conrad * METHOD/DEVICE: Piston corer (PC)
	RC10-179 * LATITUDE: 39.633000 * LONGITUDE: 173.720000 * DATE/TIME: 1966-06-24T00:00:00 * ELEVATION: -4312.0 m * Recovery: 2.41 m * CAMPAIGN: RC10 * BASIS: Robert Conrad * METHOD/DEVICE: Piston corer (PC)
	RC10-181 * LATITUDE: 44.083000 * LONGITUDE: 176.830000 * DATE/TIME: 1966-06-25T00:00:00 * ELEVATION: -5698.0 m * Recovery: 11.61 m * CAMPAIGN: RC10 * BASIS: Robert Conrad * METHOD/DEVICE: Piston corer (PC)
