Leg,Site,H,Cor,T,Depth (mbsf),Format,DPI,Image Link,Filename
306,1313,D,13,H,121.5,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_013h_06.jpg,1313d_013h_06.jpg
306,1313,D,13,H,123.0,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_013h_07.jpg,1313d_013h_07.jpg
306,1313,D,13,H,123.7,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_013h_cc.jpg,1313d_013h_cc.jpg
306,1313,D,14,H,123.5,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1313D14H.PDF,1313D14H.PDF
306,1313,D,14,H,123.5,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_014h_01.jpg,1313d_014h_01.jpg
306,1313,D,14,H,125.0,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_014h_02.jpg,1313d_014h_02.jpg
306,1313,D,14,H,126.5,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_014h_03.jpg,1313d_014h_03.jpg
306,1313,D,14,H,128.0,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_014h_04.jpg,1313d_014h_04.jpg
306,1313,D,14,H,129.5,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_014h_05.jpg,1313d_014h_05.jpg
306,1313,D,14,H,131.0,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_014h_06.jpg,1313d_014h_06.jpg
306,1313,D,14,H,132.5,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_014h_07.jpg,1313d_014h_07.jpg
306,1313,D,14,H,133.39,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_014h_cc.jpg,1313d_014h_cc.jpg
306,1313,D,15,H,133.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1313D15H.PDF,1313D15H.PDF
306,1313,D,15,H,133.0,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_015h_01.jpg,1313d_015h_01.jpg
306,1313,D,15,H,134.5,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_015h_02.jpg,1313d_015h_02.jpg
306,1313,D,15,H,136.0,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_015h_03.jpg,1313d_015h_03.jpg
306,1313,D,15,H,137.5,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_015h_04.jpg,1313d_015h_04.jpg
306,1313,D,15,H,139.0,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_015h_05.jpg,1313d_015h_05.jpg
306,1313,D,15,H,140.5,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_015h_06.jpg,1313d_015h_06.jpg
306,1313,D,15,H,142.0,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_015h_07.jpg,1313d_015h_07.jpg
