"Exp","Site","Hole","Core","Type","Sect","A/W","Top offset on section (cm)","Bot offset on section (cm)","Top depth CSF-A (m)","Top depth CSF-B (m)","Inorganic carbon (wt%)","Calcium carbonate (wt%)","Total carbon (wt%)","Hydrogen (wt%)","Nitrogen (wt%)","Sulfur (wt%)","Organic carbon (wt%), CHNS with treated sample (wt%)","Organic carbon (wt%) by difference (CHNS-COUL)","Sample treatment method (CHNS organic carbon)","Sample comments"
"346","U1425","B","1","H","5","W","87.0","89.0","6.870","6.854","0.051","0.425","0.5904","","0.1726","1.1796","","0.54","","mis5 green layer"
"346","U1425","B","1","H","5","W","96.0","98.0","6.960","6.944","0.036","0.300","0.9103","","0.2077","0.5598","","0.87","","mis5 end light dark"
"346","U1425","B","1","H","5","W","144.0","146.0","7.440","7.423","1.055","8.791","2.1825","","0.1690","2.6547","","1.13","","mis6 light dark"
"346","U1426","A","1","H","1","W","52.0","74.0","0.520","0.520","0.370","3.083","2.6118","","0.4040","0.9238","","2.24","",""
"346","U1426","A","1","H","1","","145.0","150.0","1.450","1.450","0.194","1.617","2.6831","","0.3759","0.9723","","2.49","","ship split, carb"
"346","U1426","A","1","H","2","W","60.0","62.0","2.100","2.100","1.113","9.275","5.2564","","0.5233","1.0292","","4.14","",""
"346","U1426","A","1","H","2","W","74.0","76.0","2.240","2.240","0.851","7.091","2.5507","","0.2934","0.8207","","1.70","",""
"346","U1426","B","1","H","1","","145.0","150.0","1.450","1.448","0.203","1.692","2.6288","","0.3479","0.4497","","2.43","","ship split, carb"
"346","U1426","B","1","H","1","W","145.0","150.0","1.450","1.448","","","2.6093","","0.3682","0.2599","","","","ship split, carb"
"346","U1426","B","1","H","2","","145.0","150.0","2.950","2.946","1.558","12.983","2.7734","","0.2027","0.9347","","1.22","","ship split, carb"
"346","U1426","B","1","H","3","","145.0","150.0","4.450","4.443","0.665","5.541","1.8589","","0.2374","0.5464","","1.19","","ship split, carb"
"346","U1426","B","1","H","4","","145.0","150.0","5.950","5.941","2.265","18.874","5.9276","","0.4085","0.2500","","3.66","","ship split, carb"
"346","U1427","A","1","H","2","","65.0","70.0","1.560","1.560","0.546","4.550","2.7443","","0.3345","0.8274","","2.20","","ship split, carb"
"346","U1428","A","1","H","1","W","53.0","54.0","0.530","0.530","2.883","24.024","4.4368","","0.2987","0.3720","","1.55","",""
"346","U1428","A","1","H","1","","145.0","150.0","1.450","1.450","2.720","22.666","4.1368","","0.2454","0.2474","","1.42","","ship split, carb"
"346","U1428","A","1","H","5","W","9.0","11.0","5.700","5.700","1.692","14.099","2.9315","","0.2436","0.6169","","1.24","",""
"346","U1428","A","1","H","5","W","57.0","58.0","6.180","6.180","1.528","12.733","2.7456","","0.2151","0.6292","","1.22","",""
"346","U1429","A","1","H","1","W","19.0","20.0","0.190","0.190","1.920","15.999","3.0876","","0.1577","0.7761","","1.17","",""
"346","U1429","A","1","H","1","W","38.0","39.0","0.380","0.380","2.899","24.157","4.4937","","0.2188","0.3851","","1.59","",""
"346","U1429","A","1","H","2","W","9.0","11.0","1.590","1.590","2.179","18.158","3.2014","","0.1674","0.4720","","1.02","",""
